% psi, re(u), im(u), abs(u), re(w), im(w), abs(w)
  59.00  0.542924E-005 -0.408322E-005  0.679333E-005  0.724678E-005 -0.761627E-005  0.105130E-004
  59.50  0.775601E-005 -0.935015E-005  0.121483E-004  0.114777E-004 -0.166528E-004  0.202251E-004
  60.00  0.986093E-005 -0.140985E-004  0.172048E-004  0.154811E-004 -0.251605E-004  0.295417E-004
  60.50  0.117616E-004 -0.183752E-004  0.218170E-004  0.192731E-004 -0.331838E-004  0.383746E-004
  61.00  0.134738E-004 -0.222215E-004  0.259873E-004  0.228683E-004 -0.407615E-004  0.467382E-004
  61.50  0.150121E-004 -0.256741E-004  0.297409E-004  0.262799E-004 -0.479279E-004  0.546600E-004
  62.00  0.163893E-004 -0.287654E-004  0.331067E-004  0.295200E-004 -0.547133E-004  0.621689E-004
  62.50  0.176174E-004 -0.315245E-004  0.361133E-004  0.325991E-004 -0.611448E-004  0.692920E-004
  63.00  0.187072E-004 -0.339775E-004  0.387870E-004  0.355274E-004 -0.672464E-004  0.760544E-004
  63.50  0.196686E-004 -0.361479E-004  0.411525E-004  0.383136E-004 -0.730398E-004  0.824787E-004
  64.00  0.205105E-004 -0.380570E-004  0.432321E-004  0.409660E-004 -0.785446E-004  0.885859E-004
  64.50  0.212413E-004 -0.397240E-004  0.450465E-004  0.434921E-004 -0.837785E-004  0.943949E-004
  65.00  0.218687E-004 -0.411664E-004  0.466145E-004  0.458988E-004 -0.887575E-004  0.999230E-004
  65.50  0.223995E-004 -0.424002E-004  0.479533E-004  0.481926E-004 -0.934963E-004  0.105186E-003
  66.00  0.228403E-004 -0.434402E-004  0.490788E-004  0.503792E-004 -0.980083E-004  0.110198E-003
  66.50  0.231971E-004 -0.442997E-004  0.500056E-004  0.524641E-004 -0.102306E-003  0.114974E-003
  67.00  0.234753E-004 -0.449910E-004  0.507472E-004  0.544523E-004 -0.106400E-003  0.119524E-003
  67.50  0.236803E-004 -0.455256E-004  0.513160E-004  0.563487E-004 -0.110302E-003  0.123861E-003
  68.00  0.238166E-004 -0.459140E-004  0.517235E-004  0.581574E-004 -0.114020E-003  0.127996E-003
  68.50  0.238887E-004 -0.461658E-004  0.519803E-004  0.598827E-004 -0.117565E-003  0.131937E-003
  69.00  0.239009E-004 -0.462902E-004  0.520964E-004  0.615283E-004 -0.120943E-003  0.135695E-003
  69.50  0.238569E-004 -0.462954E-004  0.520809E-004  0.630978E-004 -0.124164E-003  0.139277E-003
  70.00  0.237603E-004 -0.461894E-004  0.519424E-004  0.645946E-004 -0.127234E-003  0.142692E-003
  70.50  0.236145E-004 -0.459792E-004  0.516888E-004  0.660218E-004 -0.130160E-003  0.145947E-003
