% psi, re(u), im(u), abs(u), re(w), im(w), abs(w)
  59.00  0.267947E-005 -0.534866E-005  0.598228E-005  0.445939E-005 -0.890166E-005  0.995619E-005
  59.50  0.526275E-005 -0.105053E-004  0.117498E-004  0.893437E-005 -0.178345E-004  0.199472E-004
  60.00  0.759242E-005 -0.151557E-004  0.169511E-004  0.131505E-004 -0.262505E-004  0.293602E-004
  60.50  0.969112E-005 -0.193451E-004  0.216368E-004  0.171290E-004 -0.341923E-004  0.382428E-004
  61.00  0.115788E-004 -0.231132E-004  0.258513E-004  0.208888E-004 -0.416974E-004  0.466370E-004
  61.50  0.132732E-004 -0.264956E-004  0.296343E-004  0.244463E-004 -0.487987E-004  0.545796E-004
  62.00  0.147901E-004 -0.295236E-004  0.330210E-004  0.278162E-004 -0.555257E-004  0.621035E-004
  62.50  0.161437E-004 -0.322254E-004  0.360430E-004  0.310117E-004 -0.619045E-004  0.692379E-004
  63.00  0.173465E-004 -0.346265E-004  0.387285E-004  0.340445E-004 -0.679583E-004  0.760090E-004
  63.50  0.184101E-004 -0.367497E-004  0.411032E-004  0.369250E-004 -0.737084E-004  0.824402E-004
  64.00  0.193449E-004 -0.386156E-004  0.431902E-004  0.396629E-004 -0.791737E-004  0.885530E-004
  64.50  0.201602E-004 -0.402431E-004  0.450105E-004  0.422668E-004 -0.843715E-004  0.943665E-004
  65.00  0.208647E-004 -0.416494E-004  0.465833E-004  0.447445E-004 -0.893174E-004  0.998983E-004
  65.50  0.214662E-004 -0.428500E-004  0.479262E-004  0.471032E-004 -0.940257E-004  0.105164E-003
  66.00  0.219718E-004 -0.438593E-004  0.490551E-004  0.493495E-004 -0.985096E-004  0.110179E-003
  66.50  0.223882E-004 -0.446905E-004  0.499847E-004  0.514893E-004 -0.102781E-003  0.114957E-003
  67.00  0.227214E-004 -0.453557E-004  0.507287E-004  0.535284E-004 -0.106851E-003  0.119509E-003
  67.50  0.229771E-004 -0.458661E-004  0.512996E-004  0.554717E-004 -0.110731E-003  0.123848E-003
  68.00  0.231604E-004 -0.462320E-004  0.517089E-004  0.573241E-004 -0.114428E-003  0.127984E-003
  68.50  0.232762E-004 -0.464630E-004  0.519672E-004  0.590900E-004 -0.117953E-003  0.131926E-003
  69.00  0.233287E-004 -0.465680E-004  0.520846E-004  0.607735E-004 -0.121314E-003  0.135685E-003
  69.50  0.233223E-004 -0.465552E-004  0.520703E-004  0.623784E-004 -0.124517E-003  0.139268E-003
  70.00  0.232607E-004 -0.464322E-004  0.519328E-004  0.639083E-004 -0.127571E-003  0.142684E-003
  70.50  0.231476E-004 -0.462063E-004  0.516801E-004  0.653667E-004 -0.130483E-003  0.145940E-003
  71.00  0.229861E-004 -0.458841E-004  0.513197E-004  0.667566E-004 -0.133257E-003  0.149043E-003
  71.50  0.227796E-004 -0.454718E-004  0.508585E-004  0.680810E-004 -0.135901E-003  0.152000E-003
  72.00  0.225308E-004 -0.449752E-004  0.503031E-004  0.693427E-004 -0.138419E-003  0.154817E-003
  72.50  0.222425E-004 -0.443998E-004  0.496595E-004  0.705443E-004 -0.140818E-003  0.157500E-003
  73.00  0.219173E-004 -0.437506E-004  0.489335E-004  0.716884E-004 -0.143102E-003  0.160054E-003
  73.50  0.215576E-004 -0.430325E-004  0.481303E-004  0.727772E-004 -0.145275E-003  0.162485E-003
  74.00  0.211655E-004 -0.422499E-004  0.472550E-004  0.738130E-004 -0.147343E-003  0.164798E-003
  74.50  0.207433E-004 -0.414070E-004  0.463123E-004  0.747979E-004 -0.149309E-003  0.166997E-003
  75.00  0.202928E-004 -0.405078E-004  0.453065E-004  0.757339E-004 -0.151177E-003  0.169086E-003
  75.50  0.198160E-004 -0.395560E-004  0.442420E-004  0.766228E-004 -0.152952E-003  0.171071E-003
  76.00  0.193146E-004 -0.385550E-004  0.431224E-004  0.774665E-004 -0.154636E-003  0.172955E-003
  76.50  0.187902E-004 -0.375082E-004  0.419516E-004  0.782666E-004 -0.156233E-003  0.174741E-003
  77.00  0.182443E-004 -0.364186E-004  0.407329E-004  0.790248E-004 -0.157746E-003  0.176434E-003
  77.50  0.176785E-004 -0.352892E-004  0.394697E-004  0.797426E-004 -0.159179E-003  0.178036E-003
  78.00  0.170941E-004 -0.341226E-004  0.381649E-004  0.804213E-004 -0.160534E-003  0.179552E-003
  78.50  0.164923E-004 -0.329214E-004  0.368214E-004  0.810625E-004 -0.161814E-003  0.180983E-003
  79.00  0.158745E-004 -0.316881E-004  0.354420E-004  0.816673E-004 -0.163021E-003  0.182334E-003
  79.50  0.152417E-004 -0.304250E-004  0.340293E-004  0.822371E-004 -0.164159E-003  0.183606E-003
  80.00  0.145951E-004 -0.291342E-004  0.325856E-004  0.827730E-004 -0.165228E-003  0.184802E-003
  80.50  0.139356E-004 -0.278178E-004  0.311132E-004  0.832760E-004 -0.166232E-003  0.185925E-003
  81.00  0.132643E-004 -0.264776E-004  0.296143E-004  0.837472E-004 -0.167173E-003  0.186977E-003
  81.50  0.125819E-004 -0.251156E-004  0.280909E-004  0.841876E-004 -0.168052E-003  0.187960E-003
  82.00  0.118895E-004 -0.237334E-004  0.265449E-004  0.845981E-004 -0.168872E-003  0.188877E-003
  82.50  0.111878E-004 -0.223326E-004  0.249782E-004  0.849795E-004 -0.169633E-003  0.189728E-003
  83.00  0.104775E-004 -0.209149E-004  0.233925E-004  0.853327E-004 -0.170338E-003  0.190517E-003
