 % the field is psp
% Dinn5 settings , t1, t2, t3, t4, tm, tp, eps, step, IntLimit
%   0.250000E+001  0.250000E+001  0.250000E+001  0.280000E+002  0.200000E-001  0.000000E+000  0.100000E-005  0.100000E-001  0.100000E+006
%psi, R, x, z, re(u), im(u), abs(u), re(w), im(w), abs(w), fieldCode, cp(1), cp(2), cs(1), cs(2), rho(1), rho(2), h, w
  0.192500E+003  0.300000E+002 -0.292889E+002 -0.749319E+001  0.176381E-005  0.454432E-007  0.176440E-005  0.267429E-006  0.689008E-008  0.267518E-006  0.210000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.193000E+003  0.300000E+002 -0.292311E+002 -0.774853E+001 -0.523014E-006  0.170082E-005  0.177942E-005 -0.792989E-007  0.257877E-006  0.269794E-006  0.210000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.193500E+003  0.300000E+002 -0.291711E+002 -0.800336E+001 -0.153687E-005 -0.927194E-006  0.179490E-005 -0.233018E-006 -0.140580E-006  0.272140E-006  0.210000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.194000E+003  0.300000E+002 -0.291089E+002 -0.825766E+001  0.124588E-005 -0.131431E-005  0.181098E-005  0.188898E-006 -0.199272E-006  0.274576E-006  0.210000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.194500E+003  0.300000E+002 -0.290444E+002 -0.851140E+001  0.107012E-005  0.148145E-005  0.182752E-005  0.162249E-006  0.224612E-006  0.277084E-006  0.210000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.195000E+003  0.300000E+002 -0.289778E+002 -0.876457E+001 -0.164557E-005  0.833666E-006  0.184469E-005 -0.249495E-006  0.126397E-006  0.279686E-006  0.210000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.195500E+003  0.300000E+002 -0.289089E+002 -0.901715E+001 -0.626011E-006 -0.175413E-005  0.186249E-005 -0.949129E-007 -0.265953E-006  0.282382E-006  0.210000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.196000E+003  0.300000E+002 -0.288379E+002 -0.926912E+001  0.182336E-005 -0.461258E-006  0.188080E-005  0.276448E-006 -0.699334E-007  0.285157E-006  0.210000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.196500E+003  0.300000E+002 -0.287646E+002 -0.952046E+001  0.348485E-006  0.186752E-005  0.189976E-005  0.528352E-007  0.283142E-006  0.288029E-006  0.210000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.197000E+003  0.300000E+002 -0.286891E+002 -0.977115E+001 -0.189667E-005  0.293480E-006  0.191924E-005 -0.287560E-006  0.444954E-007  0.290982E-006  0.210000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
