 % the field is pss
% Dinn5 settings , t1, t2, t3, t4, tm, tp, eps, step, IntLimit
%   0.250000E+001  0.250000E+001  0.250000E+001  0.280000E+002  0.200000E-001  0.000000E+000  0.100000E-005  0.100000E-001  0.100000E+006
%psi, R, x, z, re(u), im(u), abs(u), re(w), im(w), abs(w), fieldCode, cp(1), cp(2), cs(1), cs(2), rho(1), rho(2), h, w
  0.192500E+003  0.300000E+002 -0.292889E+002 -0.749319E+001 -0.110943E-003  0.242978E-003  0.267108E-003 -0.830987E-004  0.181995E-003  0.200069E-003  0.220000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.193000E+003  0.300000E+002 -0.292311E+002 -0.774853E+001  0.544121E-004  0.268431E-003  0.273890E-003  0.407546E-004  0.201055E-003  0.205144E-003  0.220000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.193500E+003  0.300000E+002 -0.291711E+002 -0.800336E+001  0.217726E-003  0.177612E-003  0.280982E-003  0.163072E-003  0.133028E-003  0.210449E-003  0.220000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.194000E+003  0.300000E+002 -0.291089E+002 -0.825766E+001  0.287845E-003 -0.175383E-004  0.288379E-003  0.215584E-003 -0.131354E-004  0.215983E-003  0.220000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.194500E+003  0.300000E+002 -0.290444E+002 -0.851140E+001  0.192063E-003 -0.225371E-003  0.296109E-003  0.143843E-003 -0.168788E-003  0.221766E-003  0.220000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.195000E+003  0.300000E+002 -0.289778E+002 -0.876457E+001 -0.478057E-004 -0.300388E-003  0.304168E-003 -0.358022E-004 -0.224964E-003  0.227795E-003  0.220000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.195500E+003  0.300000E+002 -0.289089E+002 -0.901715E+001 -0.275906E-003 -0.146986E-003  0.312617E-003 -0.206622E-003 -0.110076E-003  0.234114E-003  0.220000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.196000E+003  0.300000E+002 -0.288379E+002 -0.926912E+001 -0.282984E-003  0.152487E-003  0.321454E-003 -0.211915E-003  0.114192E-003  0.240724E-003  0.220000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.196500E+003  0.300000E+002 -0.287646E+002 -0.952046E+001 -0.106297E-004  0.330524E-003  0.330694E-003 -0.795990E-005  0.247507E-003  0.247635E-003  0.220000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.197000E+003  0.300000E+002 -0.286891E+002 -0.977115E+001  0.299130E-003  0.162433E-003  0.340387E-003  0.223990E-003  0.121631E-003  0.254883E-003  0.220000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.197500E+003  0.300000E+002 -0.286115E+002 -0.100212E+002  0.274874E-003 -0.217526E-003  0.350533E-003  0.205819E-003 -0.162879E-003  0.262471E-003  0.220000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
