 % the field is ppp
% Dinn5 settings , t1, t2, t3, t4, tm, tp, eps, step, IntLimit
%   0.250000E+001  0.250000E+001  0.250000E+001  0.280000E+002  0.200000E-001  0.000000E+000  0.100000E-005  0.100000E-001  0.100000E+006
%psi, R, x, z, re(u), im(u), abs(u), re(w), im(w), abs(w), fieldCode, cp(1), cp(2), cs(1), cs(2), rho(1), rho(2), h, w
  0.192500E+003  0.300000E+002 -0.292889E+002 -0.749319E+001 -0.785143E-005  0.588514E-005  0.981222E-005 -0.136130E-004  0.102038E-004  0.170126E-004  0.110000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.193000E+003  0.300000E+002 -0.292311E+002 -0.774853E+001 -0.286975E-005 -0.958940E-005  0.100096E-004 -0.497572E-005 -0.166266E-004  0.173551E-004  0.110000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.193500E+003  0.300000E+002 -0.291711E+002 -0.800336E+001  0.102040E-004  0.470734E-006  0.102148E-004  0.176924E-004  0.816195E-006  0.177113E-004  0.110000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.194000E+003  0.300000E+002 -0.291089E+002 -0.825766E+001 -0.374426E-005  0.973214E-005  0.104276E-004 -0.649220E-005  0.168746E-004  0.180804E-004  0.110000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.194500E+003  0.300000E+002 -0.290444E+002 -0.851140E+001 -0.832941E-005 -0.663435E-005  0.106486E-004 -0.144427E-004 -0.115036E-004  0.184641E-004  0.110000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.195000E+003  0.300000E+002 -0.289778E+002 -0.876457E+001  0.892404E-005 -0.622203E-005  0.108790E-004  0.154740E-004 -0.107888E-004  0.188638E-004  0.110000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.195500E+003  0.300000E+002 -0.289089E+002 -0.901715E+001  0.366199E-005  0.104972E-004  0.111176E-004  0.634992E-005  0.182022E-004  0.192780E-004  0.110000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.196000E+003  0.300000E+002 -0.288379E+002 -0.926912E+001 -0.113309E-004  0.893821E-006  0.113661E-004 -0.196483E-004  0.154992E-005  0.197093E-004  0.110000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.196500E+003  0.300000E+002 -0.287646E+002 -0.952046E+001  0.187273E-005 -0.114729E-004  0.116248E-004  0.324747E-005 -0.198950E-004  0.201583E-004  0.110000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.197000E+003  0.300000E+002 -0.286891E+002 -0.977115E+001  0.110198E-004  0.447550E-005  0.118940E-004  0.191096E-004  0.776104E-005  0.206255E-004  0.110000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
