 % the field is uss
 %psi, re(u), im(u), abs(u), re(w), im(w), abs(w)
  33.50 -0.706395E-002 -0.314848E-003  0.707096E-002  0.101824E-001  0.200017E-003  0.101844E-001
  34.00 -0.646079E-002 -0.704261E-003  0.649906E-002  0.958118E-002  0.585748E-003  0.959907E-002
  34.50 -0.603725E-002 -0.257451E-003  0.604274E-002  0.916374E-002  0.329207E-003  0.916965E-002
  35.00 -0.648881E-002  0.341364E-003  0.649778E-002  0.942918E-002 -0.348190E-004  0.942924E-002
  35.50 -0.744259E-002  0.275578E-003  0.744769E-002  0.101191E-001  0.133186E-003  0.101200E-001
  36.00 -0.819568E-002 -0.483551E-003  0.820993E-002  0.106507E-001  0.916246E-003  0.106901E-001
  36.50 -0.839651E-002 -0.155659E-002  0.853958E-002  0.106745E-001  0.198108E-002  0.108568E-001
  37.00 -0.801791E-002 -0.249539E-002  0.839725E-002  0.101805E-001  0.290926E-002  0.105880E-001
  37.50 -0.733736E-002 -0.296262E-002  0.791290E-002  0.942732E-002  0.340905E-002  0.100248E-001
  38.00 -0.675704E-002 -0.288850E-002  0.734854E-002  0.879213E-002  0.343257E-002  0.943844E-002
  38.50 -0.668392E-002 -0.244730E-002  0.711787E-002  0.861814E-002  0.319710E-002  0.919205E-002
  39.00 -0.736690E-002 -0.216778E-002  0.767923E-002  0.902184E-002  0.315955E-002  0.955910E-002
  39.50 -0.847605E-002 -0.268051E-002  0.888980E-002  0.970586E-002  0.375636E-002  0.104074E-001
  40.00 -0.930192E-002 -0.406313E-002  0.101506E-001  0.101488E-001  0.503987E-002  0.113313E-001
  40.50 -0.945623E-002 -0.590323E-002  0.111476E-001  0.100128E-001  0.671957E-002  0.120585E-001
  41.00 -0.891512E-002 -0.785721E-002  0.118834E-001  0.922273E-002  0.847237E-002  0.125236E-001
  41.50 -0.768429E-002 -0.969698E-002  0.123725E-001  0.781338E-002  0.100439E-001  0.127251E-001
  42.00 -0.582684E-002 -0.111555E-001  0.125856E-001  0.588933E-002  0.112087E-001  0.126617E-001
  42.50 -0.353191E-002 -0.120166E-001  0.125249E-001  0.363780E-002  0.117954E-001  0.123436E-001
  43.00 -0.104339E-002 -0.121469E-001  0.121916E-001  0.130155E-002  0.117180E-001  0.117901E-001
  43.50  0.130844E-002 -0.115060E-001  0.115802E-001 -0.844842E-003  0.110049E-001  0.110373E-001
  44.00  0.318341E-002 -0.102951E-001  0.107760E-001 -0.257638E-002  0.983764E-002  0.101694E-001
  44.50  0.450303E-002 -0.888722E-002  0.996293E-002 -0.383810E-002  0.847353E-002  0.930225E-002
  45.00  0.545276E-002 -0.749328E-002  0.926725E-002 -0.472359E-002  0.708012E-002  0.851120E-002
  45.50  0.616681E-002 -0.608036E-002  0.866028E-002 -0.532272E-002  0.569529E-002  0.779536E-002
  46.00  0.660747E-002 -0.461640E-002  0.806039E-002 -0.565275E-002  0.433209E-002  0.712184E-002
  46.50  0.673261E-002 -0.318574E-002  0.744829E-002 -0.571720E-002  0.304280E-002  0.647649E-002
  47.00  0.658109E-002 -0.188140E-002  0.684473E-002 -0.555117E-002  0.188947E-002  0.586393E-002
  47.50  0.620561E-002 -0.760368E-003  0.625202E-002 -0.520987E-002  0.918728E-003  0.529025E-002
  48.00  0.567508E-002  0.108608E-003  0.567612E-002 -0.476603E-002  0.162933E-003  0.476881E-002
  48.50  0.513214E-002  0.691650E-003  0.517854E-002 -0.431427E-002 -0.382444E-003  0.433119E-002
  49.00  0.472562E-002  0.108499E-002  0.484857E-002 -0.393232E-002 -0.783691E-003  0.400966E-002
  49.50  0.447134E-002  0.146640E-002  0.470566E-002 -0.362852E-002 -0.113595E-002  0.380218E-002
  50.00  0.424827E-002  0.193660E-002  0.466886E-002 -0.334793E-002 -0.149537E-002  0.366671E-002
  50.50  0.393649E-002  0.245842E-002  0.464110E-002 -0.303202E-002 -0.185427E-002  0.355408E-002
  51.00  0.350974E-002  0.294572E-002  0.458209E-002 -0.266025E-002 -0.217557E-002  0.343657E-002
  51.50  0.299582E-002  0.335354E-002  0.449680E-002 -0.224077E-002 -0.243094E-002  0.330613E-002
  52.00  0.240805E-002  0.366613E-002  0.438626E-002 -0.178665E-002 -0.260364E-002  0.315770E-002
  52.50  0.175204E-002  0.384596E-002  0.422623E-002 -0.131476E-002 -0.267592E-002  0.298147E-002
  53.00  0.107548E-002  0.384108E-002  0.398880E-002 -0.857738E-003 -0.263353E-002  0.276969E-002
  53.50  0.471451E-003  0.364306E-002  0.367344E-002 -0.460257E-003 -0.248430E-002  0.252657E-002
  54.00  0.204107E-004  0.331490E-002  0.331496E-002 -0.156409E-003 -0.226416E-002  0.226955E-002
  54.50 -0.263007E-003  0.295198E-002  0.296368E-002  0.485125E-004 -0.201990E-002  0.202048E-002
  55.00 -0.423898E-003  0.261941E-002  0.265349E-002  0.174047E-003 -0.178529E-002  0.179375E-002
  55.50 -0.516344E-003  0.232698E-002  0.238358E-002  0.245017E-003 -0.157181E-002  0.159079E-002
  56.00 -0.562139E-003  0.205496E-002  0.213046E-002  0.275932E-003 -0.137789E-002  0.140525E-002
  56.50 -0.551521E-003  0.179495E-002  0.187777E-002  0.270499E-003 -0.120337E-002  0.123339E-002
  57.00 -0.473376E-003  0.156663E-002  0.163659E-002  0.231489E-003 -0.105556E-002  0.108064E-002
  57.50 -0.340988E-003  0.140225E-002  0.144312E-002  0.169026E-003 -0.944268E-003  0.959276E-003
  58.00 -0.192334E-003  0.131940E-002  0.133335E-002  0.100198E-003 -0.873041E-003  0.878772E-003
  58.50 -0.695282E-004  0.130648E-002  0.130833E-002  0.418291E-004 -0.834933E-003  0.835980E-003
  59.00  0.357090E-005  0.132937E-002  0.132938E-002  0.304499E-005 -0.815558E-003  0.815564E-003
  59.50  0.302061E-004  0.135096E-002  0.135130E-002 -0.172146E-004 -0.800210E-003  0.800395E-003
  60.00  0.334083E-004  0.134900E-002  0.134942E-002 -0.271120E-004 -0.780027E-003  0.780498E-003
  60.50  0.403243E-004  0.132273E-002  0.132335E-002 -0.361515E-004 -0.754027E-003  0.754893E-003
  61.00  0.683415E-004  0.128780E-002  0.128961E-002 -0.503049E-004 -0.727048E-003  0.728787E-003
  61.50  0.119147E-003  0.126506E-002  0.127066E-002 -0.700622E-004 -0.705682E-003  0.709151E-003
  62.00  0.181063E-003  0.127011E-002  0.128295E-002 -0.913967E-004 -0.694608E-003  0.700596E-003
  62.50  0.236168E-003  0.130768E-002  0.132883E-002 -0.108334E-003 -0.694746E-003  0.703142E-003
  63.00  0.267876E-003  0.137159E-002  0.139751E-002 -0.115587E-003 -0.703361E-003  0.712796E-003
  63.50  0.266046E-003  0.144856E-002  0.147278E-002 -0.110259E-003 -0.715469E-003  0.723915E-003
  64.00  0.228657E-003  0.152312E-002  0.154019E-002 -0.923098E-004 -0.725599E-003  0.731447E-003
  64.50  0.160681E-003  0.158191E-002  0.159005E-002 -0.640606E-004 -0.729235E-003  0.732043E-003
  65.00  0.714536E-004  0.161604E-002  0.161762E-002 -0.292104E-004 -0.723598E-003  0.724187E-003
  65.50 -0.281973E-004  0.162180E-002  0.162205E-002  0.819495E-005 -0.707787E-003  0.707835E-003
  66.00 -0.128242E-003  0.159990E-002  0.160504E-002  0.445531E-004 -0.682464E-003  0.683917E-003
  66.50 -0.220826E-003  0.155417E-002  0.156978E-002  0.771551E-004 -0.649327E-003  0.653894E-003
  67.00 -0.300777E-003  0.149003E-002  0.152009E-002  0.104322E-003 -0.610570E-003  0.619418E-003
  67.50 -0.365472E-003  0.141334E-002  0.145983E-002  0.125318E-003 -0.568443E-003  0.582092E-003
  68.00 -0.414347E-003  0.132948E-002  0.139255E-002  0.140148E-003 -0.524956E-003  0.543342E-003
  68.50 -0.448281E-003  0.124292E-002  0.132129E-002  0.149316E-003 -0.481731E-003  0.504341E-003
  69.00 -0.469015E-003  0.115705E-002  0.124849E-002  0.153608E-003 -0.439958E-003  0.466003E-003
  69.50 -0.478678E-003  0.107422E-002  0.117604E-002  0.153920E-003 -0.400424E-003  0.428988E-003
