 % the field is all
% Dinn5 settings , t1, t2, t3, t4, tm, tp, eps, step, IntLimit
%   0.105932E+001  0.105932E+001  0.105932E+001  0.369393E+001  0.200000E-001  0.000000E+000  0.100000E-005  0.100000E-001  0.100000E+006
%psi, R, x, z, re(u), im(u), abs(u), re(w), im(w), abs(w), fieldCode, cp(1), cp(2), cs(1), cs(2), rho(1), rho(2), h, w
  0.434055E+003  0.728011E+001  0.200000E+001 -0.300000E+001 -0.565841E-006 -0.643962E-003  0.643962E-003  0.578813E-003  0.599346E-003  0.833211E-003  0.000000E+000  0.472000E+001  0.640000E+001  0.379000E+001  0.313000E+001  0.269000E+001  0.893000E+001  0.500000E+001  0.100000E+002
  0.433301E+003  0.730821E+001  0.210000E+001 -0.300000E+001  0.393044E-004 -0.657223E-003  0.658397E-003  0.507973E-003  0.631692E-003  0.810599E-003  0.000000E+000  0.472000E+001  0.640000E+001  0.379000E+001  0.313000E+001  0.269000E+001  0.893000E+001  0.500000E+001  0.100000E+002
  0.432553E+003  0.733757E+001  0.220000E+001 -0.300000E+001  0.821813E-004 -0.665757E-003  0.670810E-003  0.433200E-003  0.657862E-003  0.787683E-003  0.000000E+000  0.472000E+001  0.640000E+001  0.379000E+001  0.313000E+001  0.269000E+001  0.893000E+001  0.500000E+001  0.100000E+002
  0.431811E+003  0.736817E+001  0.230000E+001 -0.300000E+001  0.127525E-003 -0.669182E-003  0.681224E-003  0.355201E-003  0.677018E-003  0.764540E-003  0.000000E+000  0.472000E+001  0.640000E+001  0.379000E+001  0.313000E+001  0.269000E+001  0.893000E+001  0.500000E+001  0.100000E+002
  0.431075E+003  0.740000E+001  0.240000E+001 -0.300000E+001  0.174723E-003 -0.667172E-003  0.689671E-003  0.274834E-003  0.688410E-003  0.741244E-003  0.000000E+000  0.472000E+001  0.640000E+001  0.379000E+001  0.313000E+001  0.269000E+001  0.893000E+001  0.500000E+001  0.100000E+002
  0.430346E+003  0.743303E+001  0.250000E+001 -0.300000E+001  0.223099E-003 -0.659479E-003  0.696194E-003  0.193099E-003  0.691404E-003  0.717862E-003  0.000000E+000  0.472000E+001  0.640000E+001  0.379000E+001  0.313000E+001  0.269000E+001  0.893000E+001  0.500000E+001  0.100000E+002
  0.429624E+003  0.746726E+001  0.260000E+001 -0.300000E+001  0.271927E-003 -0.645940E-003  0.700844E-003  0.111127E-003  0.685515E-003  0.694464E-003  0.000000E+000  0.472000E+001  0.640000E+001  0.379000E+001  0.313000E+001  0.269000E+001  0.893000E+001  0.500000E+001  0.100000E+002
  0.428908E+003  0.750267E+001  0.270000E+001 -0.300000E+001  0.320443E-003 -0.626490E-003  0.703686E-003  0.301565E-004  0.670431E-003  0.671109E-003  0.000000E+000  0.472000E+001  0.640000E+001  0.379000E+001  0.313000E+001  0.269000E+001  0.893000E+001  0.500000E+001  0.100000E+002
  0.428199E+003  0.753923E+001  0.280000E+001 -0.300000E+001  0.367862E-003 -0.601169E-003  0.704789E-003 -0.484855E-004  0.646039E-003  0.647856E-003  0.000000E+000  0.472000E+001  0.640000E+001  0.379000E+001  0.313000E+001  0.269000E+001  0.893000E+001  0.500000E+001  0.100000E+002
  0.427496E+003  0.757694E+001  0.290000E+001 -0.300000E+001  0.413399E-003 -0.570126E-003  0.704232E-003 -0.123419E-003  0.612447E-003  0.624759E-003  0.000000E+000  0.472000E+001  0.640000E+001  0.379000E+001  0.313000E+001  0.269000E+001  0.893000E+001  0.500000E+001  0.100000E+002
  0.426801E+003  0.761577E+001  0.300000E+001 -0.300000E+001  0.456281E-003 -0.533627E-003  0.702104E-003 -0.193250E-003  0.569997E-003  0.601866E-003  0.000000E+000  0.472000E+001  0.640000E+001  0.379000E+001  0.313000E+001  0.269000E+001  0.893000E+001  0.500000E+001  0.100000E+002
  0.426114E+003  0.765572E+001  0.310000E+001 -0.300000E+001  0.495778E-003 -0.492041E-003  0.698498E-003 -0.256603E-003  0.519283E-003  0.579223E-003  0.000000E+000  0.472000E+001  0.640000E+001  0.379000E+001  0.313000E+001  0.269000E+001  0.893000E+001  0.500000E+001  0.100000E+002
  0.425433E+003  0.769675E+001  0.320000E+001 -0.300000E+001  0.531209E-003 -0.445849E-003  0.693516E-003 -0.312178E-003  0.461141E-003  0.556871E-003  0.000000E+000  0.472000E+001  0.640000E+001  0.379000E+001  0.313000E+001  0.269000E+001  0.893000E+001  0.500000E+001  0.100000E+002
  0.424759E+003  0.773886E+001  0.330000E+001 -0.300000E+001  0.561972E-003 -0.395625E-003  0.687264E-003 -0.358785E-003  0.396656E-003  0.534848E-003  0.000000E+000  0.472000E+001  0.640000E+001  0.379000E+001  0.313000E+001  0.269000E+001  0.893000E+001  0.500000E+001  0.100000E+002
  0.424093E+003  0.778203E+001  0.340000E+001 -0.300000E+001  0.587556E-003 -0.342026E-003  0.679856E-003 -0.395400E-003  0.327139E-003  0.513187E-003  0.000000E+000  0.472000E+001  0.640000E+001  0.379000E+001  0.313000E+001  0.269000E+001  0.893000E+001  0.500000E+001  0.100000E+002
