 % the field is uss
 %psi, R, x, z, re(u), im(u), abs(u), re(w), im(w), abs(w)
  0.651980E+001  0.176139E+002  0.175000E+002  0.000000E+000 -0.207651E-003  0.887226E-004  0.225811E-003  0.270659E-002 -0.131128E-002  0.300751E-002
  0.648307E+001  0.177133E+002  0.176000E+002  0.000000E+000  0.342998E-003 -0.975243E-004  0.356593E-003 -0.272623E-002  0.144642E-002  0.308618E-002
  0.644676E+001  0.178126E+002  0.177000E+002  0.000000E+000 -0.381427E-003  0.253954E-003  0.458235E-003  0.266319E-002 -0.168616E-002  0.315210E-002
  0.641084E+001  0.179120E+002  0.178000E+002  0.000000E+000  0.250978E-003 -0.360533E-003  0.439288E-003 -0.246287E-002  0.188480E-002  0.310132E-002
  0.637532E+001  0.180114E+002  0.179000E+002  0.000000E+000 -0.110512E-003  0.303841E-003  0.323314E-003  0.224198E-002 -0.194546E-002  0.296838E-002
  0.634019E+001  0.181108E+002  0.180000E+002  0.000000E+000  0.102158E-003 -0.178781E-003  0.205910E-003 -0.212508E-002  0.193610E-002  0.287480E-002
  0.630545E+001  0.182102E+002  0.181000E+002  0.000000E+000 -0.205660E-003  0.138257E-003  0.247812E-003  0.210126E-002 -0.198875E-002  0.289317E-002
  0.627108E+001  0.183096E+002  0.182000E+002  0.000000E+000  0.277534E-003 -0.230795E-003  0.360959E-003 -0.205171E-002  0.214544E-002  0.296858E-002
  0.623708E+001  0.184090E+002  0.183000E+002  0.000000E+000 -0.220885E-003  0.341552E-003  0.406753E-003  0.189540E-002 -0.231822E-002  0.299444E-002
  0.620345E+001  0.185084E+002  0.184000E+002  0.000000E+000  0.106787E-003 -0.355215E-003  0.370919E-003 -0.167665E-002  0.240804E-002  0.293425E-002
  0.617018E+001  0.186078E+002  0.185000E+002  0.000000E+000 -0.361499E-004  0.290867E-003  0.293105E-003  0.148767E-002 -0.241016E-002  0.283232E-002
  0.613726E+001  0.187072E+002  0.186000E+002  0.000000E+000  0.411462E-004 -0.206424E-003  0.210485E-003 -0.137790E-002  0.238655E-002  0.275576E-002
  0.610468E+001  0.188066E+002  0.187000E+002  0.000000E+000 -0.125226E-003  0.175139E-003  0.215302E-003  0.133160E-002 -0.241794E-002  0.276036E-002
  0.607246E+001  0.189061E+002  0.188000E+002  0.000000E+000  0.192174E-003 -0.266586E-003  0.328632E-003 -0.125533E-002  0.254047E-002  0.283370E-002
  0.604057E+001  0.190055E+002  0.189000E+002  0.000000E+000 -0.115215E-003  0.384549E-003  0.401437E-003  0.106532E-002 -0.266822E-002  0.287303E-002
  0.600901E+001  0.191050E+002  0.190000E+002  0.000000E+000 -0.330756E-004 -0.364870E-003  0.366366E-003 -0.820743E-003  0.268240E-002  0.280516E-002
  0.597777E+001  0.192044E+002  0.191000E+002  0.000000E+000  0.771960E-004  0.236843E-003  0.249106E-003  0.655910E-003 -0.260085E-002  0.268228E-002
  0.594686E+001  0.193039E+002  0.192000E+002  0.000000E+000  0.809152E-005 -0.160712E-003  0.160916E-003 -0.600311E-003  0.255092E-002  0.262060E-002
  0.591627E+001  0.194034E+002  0.193000E+002  0.000000E+000 -0.994978E-004  0.216221E-003  0.238015E-003  0.553298E-003 -0.260512E-002  0.266323E-002
  0.588599E+001  0.195028E+002  0.194000E+002  0.000000E+000  0.744945E-004 -0.329842E-003  0.338150E-003 -0.412050E-003  0.270256E-002  0.273379E-002
  0.585601E+001  0.196023E+002  0.195000E+002  0.000000E+000  0.454145E-004  0.357606E-003  0.360478E-003  0.192565E-003 -0.272833E-002  0.273511E-002
  0.582634E+001  0.197018E+002  0.196000E+002  0.000000E+000 -0.121655E-003 -0.276682E-003  0.302247E-003 -0.607070E-006  0.265640E-002  0.265640E-002
  0.579697E+001  0.198013E+002  0.197000E+002  0.000000E+000  0.102419E-003  0.193425E-003  0.218867E-003 -0.106730E-003 -0.256300E-002  0.256522E-002
  0.576789E+001  0.199008E+002  0.198000E+002  0.000000E+000 -0.409287E-004 -0.169064E-003  0.173948E-003  0.161679E-003  0.251915E-002  0.252433E-002
  0.573910E+001  0.200002E+002  0.199000E+002  0.000000E+000 -0.119212E-004  0.213699E-003  0.214031E-003 -0.230212E-003 -0.254160E-002  0.255201E-002
  0.571059E+001  0.200998E+002  0.200000E+002  0.000000E+000 -0.143720E-004 -0.303124E-003  0.303465E-003  0.373454E-003  0.258598E-002  0.261281E-002
  0.568237E+001  0.201993E+002  0.201000E+002  0.000000E+000  0.132791E-003  0.321925E-003  0.348237E-003 -0.580646E-003 -0.255950E-002  0.262454E-002
  0.565442E+001  0.202988E+002  0.202000E+002  0.000000E+000 -0.207870E-003 -0.216428E-003  0.300085E-003  0.746262E-003  0.243318E-002  0.254505E-002
  0.562675E+001  0.203983E+002  0.203000E+002  0.000000E+000  0.148771E-003  0.113211E-003  0.186948E-003 -0.803029E-003 -0.230334E-002  0.243931E-002
  0.559934E+001  0.204978E+002  0.204000E+002  0.000000E+000 -0.465408E-004 -0.130703E-003  0.138742E-003  0.818369E-003  0.226639E-002  0.240962E-002
  0.557220E+001  0.205973E+002  0.205000E+002  0.000000E+000  0.334628E-004  0.231784E-003  0.234187E-003 -0.903430E-003 -0.229650E-002  0.246781E-002
  0.554532E+001  0.206969E+002  0.206000E+002  0.000000E+000 -0.132557E-003 -0.285844E-003  0.315085E-003  0.107774E-002  0.228391E-002  0.252543E-002
  0.551869E+001  0.207964E+002  0.207000E+002  0.000000E+000  0.229833E-003  0.216814E-003  0.315961E-003 -0.124848E-002 -0.216880E-002  0.250247E-002
  0.549232E+001  0.208959E+002  0.208000E+002  0.000000E+000 -0.214817E-003 -0.109825E-003  0.241263E-003  0.132872E-002  0.201416E-002  0.241295E-002
  0.546621E+001  0.209955E+002  0.209000E+002  0.000000E+000  0.136113E-003  0.837666E-004  0.159824E-003 -0.134415E-002 -0.191471E-002  0.233942E-002
  0.544033E+001  0.210950E+002  0.210000E+002  0.000000E+000 -0.935590E-004 -0.128305E-003  0.158794E-003  0.137646E-002  0.188206E-002  0.233169E-002
  0.541470E+001  0.211946E+002  0.211000E+002  0.000000E+000  0.110432E-003  0.185502E-003  0.215885E-003 -0.146745E-002 -0.186486E-002  0.237300E-002
  0.538931E+001  0.212941E+002  0.212000E+002  0.000000E+000 -0.184131E-003 -0.208933E-003  0.278491E-003  0.160676E-002  0.180310E-002  0.241512E-002
  0.536416E+001  0.213937E+002  0.213000E+002  0.000000E+000  0.259866E-003  0.144302E-003  0.297243E-003 -0.173123E-002 -0.166339E-002  0.240084E-002
  0.533924E+001  0.214933E+002  0.214000E+002  0.000000E+000 -0.236594E-003 -0.379360E-004  0.239616E-003  0.176943E-002  0.149586E-002  0.231700E-002
  0.531455E+001  0.215928E+002  0.215000E+002  0.000000E+000  0.136261E-003  0.183778E-004  0.137495E-003 -0.174445E-002 -0.139652E-002  0.223458E-002
  0.529008E+001  0.216924E+002  0.216000E+002  0.000000E+000 -0.910783E-004 -0.999158E-004  0.135198E-003  0.175872E-002  0.137757E-002  0.223400E-002
  0.526584E+001  0.217920E+002  0.217000E+002  0.000000E+000  0.156740E-003  0.169747E-003  0.231044E-003 -0.186085E-002 -0.134842E-002  0.229804E-002
  0.524182E+001  0.218916E+002  0.218000E+002  0.000000E+000 -0.257394E-003 -0.133679E-003  0.290038E-003  0.198688E-002  0.122961E-002  0.233658E-002
  0.521802E+001  0.219911E+002  0.219000E+002  0.000000E+000  0.271258E-003  0.217996E-004  0.272133E-003 -0.203787E-002 -0.104917E-002  0.229209E-002
  0.519443E+001  0.220907E+002  0.220000E+002  0.000000E+000 -0.183743E-003  0.337611E-004  0.186818E-003  0.200372E-002  0.909692E-003  0.220055E-002
  0.517105E+001  0.221903E+002  0.221000E+002  0.000000E+000  0.116938E-003  0.161640E-004  0.118050E-003 -0.197348E-002 -0.853622E-003  0.215018E-002
  0.514788E+001  0.222899E+002  0.222000E+002  0.000000E+000 -0.138161E-003 -0.788580E-004  0.159082E-003  0.200956E-002  0.819847E-003  0.217037E-002
  0.512492E+001  0.223895E+002  0.223000E+002  0.000000E+000  0.198153E-003  0.877873E-004  0.216728E-003 -0.208748E-002 -0.741484E-003  0.221526E-002
  0.510217E+001  0.224891E+002  0.224000E+002  0.000000E+000 -0.248666E-003 -0.431100E-004  0.252375E-003  0.215131E-002  0.604568E-003  0.223464E-002
  0.507961E+001  0.225887E+002  0.225000E+002  0.000000E+000  0.245065E-003 -0.381190E-004  0.248012E-003 -0.215392E-002 -0.440942E-003  0.219859E-002
  0.505725E+001  0.226883E+002  0.226000E+002  0.000000E+000 -0.166869E-003  0.801948E-004  0.185139E-003  0.209451E-002  0.318722E-003  0.211862E-002
  0.503508E+001  0.227879E+002  0.227000E+002  0.000000E+000  0.100381E-003 -0.259284E-004  0.103676E-003 -0.204541E-002 -0.273345E-003  0.206360E-002
  0.501311E+001  0.228876E+002  0.228000E+002  0.000000E+000 -0.132259E-003 -0.506327E-004  0.141619E-003  0.207173E-002  0.245513E-003  0.208622E-002
  0.499133E+001  0.229872E+002  0.229000E+002  0.000000E+000  0.220931E-003  0.451218E-004  0.225491E-003 -0.214122E-002 -0.150550E-003  0.214651E-002
  0.496974E+001  0.230868E+002  0.230000E+002  0.000000E+000 -0.258170E-003  0.465077E-004  0.262326E-003  0.216251E-002 -0.149181E-004  0.216256E-002
  0.494833E+001  0.231864E+002  0.231000E+002  0.000000E+000  0.191176E-003 -0.125699E-003  0.228798E-003 -0.209508E-002  0.166582E-003  0.210169E-002
  0.492711E+001  0.232860E+002  0.232000E+002  0.000000E+000 -0.976939E-004  0.985602E-004  0.138774E-003  0.200360E-002 -0.233171E-003  0.201712E-002
  0.490607E+001  0.233857E+002  0.233000E+002  0.000000E+000  0.958518E-004 -0.148669E-004  0.969979E-004 -0.197692E-002  0.251224E-003  0.199282E-002
  0.488520E+001  0.234853E+002  0.234000E+002  0.000000E+000 -0.166124E-003 -0.529863E-005  0.166209E-003  0.200929E-002 -0.310426E-003  0.203312E-002
  0.486451E+001  0.235850E+002  0.235000E+002  0.000000E+000  0.209194E-003 -0.460831E-004  0.214209E-003 -0.202657E-002  0.432819E-003  0.207228E-002
  0.484400E+001  0.236846E+002  0.236000E+002  0.000000E+000 -0.196599E-003  0.108653E-003  0.224626E-003  0.198657E-002 -0.573038E-003  0.206756E-002
  0.482366E+001  0.237842E+002  0.237000E+002  0.000000E+000  0.139938E-003 -0.143935E-003  0.200749E-003 -0.189816E-002  0.679988E-003  0.201628E-002
  0.480349E+001  0.238839E+002  0.238000E+002  0.000000E+000 -0.754589E-004  0.115344E-003  0.137835E-003  0.180802E-002 -0.725819E-003  0.194827E-002
  0.478348E+001  0.239835E+002  0.239000E+002  0.000000E+000  0.773004E-004 -0.447484E-004  0.893184E-004 -0.177327E-002  0.740335E-003  0.192161E-002
  0.476364E+001  0.240832E+002  0.240000E+002  0.000000E+000 -0.147997E-003  0.257706E-004  0.150224E-003  0.178981E-002 -0.796750E-003  0.195914E-002
  0.474397E+001  0.241828E+002  0.241000E+002  0.000000E+000  0.195742E-003 -0.914462E-004  0.216049E-003 -0.178385E-002  0.920724E-003  0.200745E-002
  0.472445E+001  0.242825E+002  0.242000E+002  0.000000E+000 -0.156095E-003  0.171619E-003  0.231989E-003  0.170114E-002 -0.105293E-002  0.200064E-002
  0.470510E+001  0.243822E+002  0.243000E+002  0.000000E+000  0.633255E-004 -0.175278E-003  0.186366E-003 -0.157456E-002  0.111700E-002  0.193053E-002
  0.468590E+001  0.244818E+002  0.244000E+002  0.000000E+000 -0.248776E-004  0.949326E-004  0.981382E-004  0.149141E-002 -0.111309E-002  0.186098E-002
  0.466686E+001  0.245815E+002  0.245000E+002  0.000000E+000  0.866425E-004 -0.405808E-004  0.956751E-004 -0.148330E-002  0.112592E-002  0.186223E-002
  0.464797E+001  0.246812E+002  0.246000E+002  0.000000E+000 -0.151192E-003  0.851579E-004  0.173525E-003  0.148084E-002 -0.121140E-002  0.191322E-002
  0.462923E+001  0.247808E+002  0.247000E+002  0.000000E+000  0.135003E-003 -0.157220E-003  0.207229E-003 -0.141569E-002  0.132526E-002  0.193920E-002
  0.461065E+001  0.248805E+002  0.248000E+002  0.000000E+000 -0.746271E-004  0.180486E-003  0.195306E-003  0.130157E-002 -0.140056E-002  0.191197E-002
  0.459221E+001  0.249802E+002  0.249000E+002  0.000000E+000  0.235942E-004 -0.154334E-003  0.156127E-003 -0.119047E-002  0.142081E-002  0.185362E-002
  0.457392E+001  0.250799E+002  0.250000E+002  0.000000E+000 -0.144402E-004  0.993117E-004  0.100356E-003  0.112245E-002 -0.141262E-002  0.180427E-002
  0.455578E+001  0.251796E+002  0.251000E+002  0.000000E+000  0.628870E-004 -0.677780E-004  0.924588E-004 -0.110124E-002  0.142808E-002  0.180337E-002
  0.453777E+001  0.252792E+002  0.252000E+002  0.000000E+000 -0.113359E-003  0.107973E-003  0.156552E-003  0.107642E-002 -0.150010E-002  0.184635E-002
  0.451991E+001  0.253789E+002  0.253000E+002  0.000000E+000  0.945300E-004 -0.178831E-003  0.202278E-003 -0.992151E-003  0.159315E-002  0.187683E-002
  0.450219E+001  0.254786E+002  0.254000E+002  0.000000E+000 -0.178858E-004  0.198752E-003  0.199555E-003  0.858562E-003 -0.163851E-002  0.184982E-002
  0.448461E+001  0.255783E+002  0.255000E+002  0.000000E+000 -0.382652E-004 -0.140605E-003  0.145719E-003 -0.744947E-003  0.161526E-002  0.177877E-002
  0.446716E+001  0.256780E+002  0.256000E+002  0.000000E+000  0.737344E-005  0.675935E-004  0.679945E-004  0.702253E-003 -0.158119E-002  0.173012E-002
  0.444985E+001  0.257777E+002  0.257000E+002  0.000000E+000  0.705722E-004 -0.778381E-004  0.105068E-003 -0.693464E-003  0.160984E-002  0.175285E-002
  0.443267E+001  0.258774E+002  0.258000E+002  0.000000E+000 -0.807930E-004  0.157913E-003  0.177381E-003  0.634278E-003 -0.168965E-002  0.180478E-002
  0.441562E+001  0.259771E+002  0.259000E+002  0.000000E+000  0.116639E-004 -0.195164E-003  0.195513E-003 -0.510828E-003  0.173947E-002  0.181293E-002
  0.439871E+001  0.260768E+002  0.260000E+002  0.000000E+000  0.448790E-004  0.158619E-003  0.164846E-003  0.387620E-003 -0.172450E-002  0.176753E-002
  0.438192E+001  0.261765E+002  0.261000E+002  0.000000E+000 -0.472303E-004 -0.105167E-003  0.115285E-003 -0.311839E-003  0.168223E-002  0.171089E-002
  0.436526E+001  0.262762E+002  0.262000E+002  0.000000E+000  0.103634E-004  0.768216E-004  0.775174E-004  0.277711E-003 -0.166123E-002  0.168428E-002
  0.434872E+001  0.263759E+002  0.263000E+002  0.000000E+000  0.333900E-004 -0.984250E-004  0.103934E-003 -0.246214E-003  0.168539E-002  0.170328E-002
  0.433231E+001  0.264756E+002  0.264000E+002  0.000000E+000 -0.298822E-004  0.155765E-003  0.158605E-003  0.171667E-003 -0.173407E-002  0.174255E-002
  0.431603E+001  0.265754E+002  0.265000E+002  0.000000E+000 -0.303655E-004 -0.181861E-003  0.184379E-003 -0.507275E-004  0.175161E-002  0.175234E-002
  0.429986E+001  0.266751E+002  0.266000E+002  0.000000E+000  0.862928E-004  0.141672E-003  0.165884E-003 -0.646613E-004 -0.170921E-002  0.171043E-002
  0.428382E+001  0.267748E+002  0.267000E+002  0.000000E+000 -0.795285E-004 -0.734328E-004  0.108246E-003  0.123513E-003  0.164217E-002  0.164681E-002
  0.426789E+001  0.268745E+002  0.268000E+002  0.000000E+000  0.140830E-004  0.526684E-004  0.545187E-004 -0.135427E-003 -0.161605E-002  0.162171E-002
  0.425209E+001  0.269742E+002  0.269000E+002  0.000000E+000  0.266470E-004 -0.113141E-003  0.116237E-003  0.170323E-003  0.165021E-002  0.165897E-002
  0.423639E+001  0.270740E+002  0.270000E+002  0.000000E+000  0.240918E-004  0.174552E-003  0.176207E-003 -0.273817E-003 -0.168105E-002  0.170321E-002
  0.422082E+001  0.271737E+002  0.271000E+002  0.000000E+000 -0.999444E-004 -0.148890E-003  0.179324E-003  0.398242E-003  0.164447E-002  0.169200E-002
  0.420536E+001  0.272734E+002  0.272000E+002  0.000000E+000  0.107529E-003  0.798171E-004  0.133915E-003 -0.472374E-003 -0.156529E-002  0.163501E-002
  0.419001E+001  0.273732E+002  0.273000E+002  0.000000E+000 -0.629956E-004 -0.495802E-004  0.801664E-004  0.495722E-003  0.150893E-002  0.158827E-002
  0.417477E+001  0.274729E+002  0.274000E+002  0.000000E+000  0.238640E-004  0.691782E-004  0.731786E-004 -0.516434E-003 -0.149853E-002  0.158503E-002
  0.415964E+001  0.275726E+002  0.275000E+002  0.000000E+000 -0.224433E-004 -0.113790E-003  0.115983E-003  0.573187E-003  0.151070E-002  0.161578E-002
  0.414462E+001  0.276724E+002  0.276000E+002  0.000000E+000  0.676692E-004  0.140271E-003  0.155740E-003 -0.669763E-003 -0.150120E-002  0.164383E-002
  0.412971E+001  0.277721E+002  0.277000E+002  0.000000E+000 -0.118819E-003 -0.111517E-003  0.162954E-003  0.767635E-003  0.144163E-002  0.163327E-002
  0.411491E+001  0.278718E+002  0.278000E+002  0.000000E+000  0.121260E-003  0.523601E-004  0.132081E-003 -0.820929E-003 -0.135426E-002  0.158365E-002
  0.410021E+001  0.279716E+002  0.279000E+002  0.000000E+000 -0.731203E-004 -0.217645E-004  0.762907E-004  0.828134E-003  0.129197E-002  0.153460E-002
  0.408562E+001  0.280713E+002  0.280000E+002  0.000000E+000  0.247435E-004  0.539616E-004  0.593641E-004 -0.837751E-003 -0.128264E-002  0.153199E-002
  0.407113E+001  0.281711E+002  0.281000E+002  0.000000E+000 -0.417575E-004 -0.117404E-003  0.124609E-003  0.901316E-003  0.129189E-002  0.157523E-002
  0.405674E+001  0.282708E+002  0.282000E+002  0.000000E+000  0.117102E-003  0.122719E-003  0.169625E-003 -0.100513E-002 -0.125177E-002  0.160537E-002
  0.404245E+001  0.283706E+002  0.283000E+002  0.000000E+000 -0.150603E-003 -0.519013E-004  0.159295E-003  0.107534E-002  0.115273E-002  0.157643E-002
  0.402826E+001  0.284703E+002  0.284000E+002  0.000000E+000  0.103365E-003  0.316866E-006  0.103365E-003 -0.108109E-002 -0.106248E-002  0.151579E-002
  0.401418E+001  0.285701E+002  0.285000E+002  0.000000E+000 -0.510089E-004 -0.199794E-004  0.547821E-004  0.107296E-002  0.102696E-002  0.148523E-002
  0.400019E+001  0.286698E+002  0.286000E+002  0.000000E+000  0.489817E-004  0.659418E-004  0.821433E-004 -0.110298E-002 -0.102000E-002  0.150232E-002
  0.398629E+001  0.287696E+002  0.287000E+002  0.000000E+000 -0.874489E-004 -0.890938E-004  0.124840E-003  0.117154E-002  0.993234E-003  0.153591E-002
  0.397250E+001  0.288694E+002  0.288000E+002  0.000000E+000  0.131878E-003  0.672490E-004  0.148035E-003 -0.124275E-002 -0.922687E-003  0.154783E-002
  0.395879E+001  0.289691E+002  0.289000E+002  0.000000E+000 -0.138066E-003 -0.148111E-004  0.138858E-003  0.127673E-002  0.825205E-003  0.152020E-002
  0.394519E+001  0.290689E+002  0.290000E+002  0.000000E+000  0.980930E-004 -0.167575E-004  0.995141E-004 -0.126807E-002 -0.745452E-003  0.147095E-002
  0.393167E+001  0.291686E+002  0.291000E+002  0.000000E+000 -0.544237E-004 -0.144682E-005  0.544430E-004  0.125410E-002  0.710024E-003  0.144114E-002
  0.391825E+001  0.292684E+002  0.292000E+002  0.000000E+000  0.524081E-004  0.500902E-004  0.724957E-004 -0.127761E-002 -0.699236E-003  0.145644E-002
  0.390492E+001  0.293682E+002  0.293000E+002  0.000000E+000 -0.104738E-003 -0.743536E-004  0.128446E-003  0.134293E-002  0.661682E-003  0.149710E-002
  0.389168E+001  0.294679E+002  0.294000E+002  0.000000E+000  0.155488E-003  0.277293E-004  0.157941E-003 -0.139894E-002 -0.567516E-003  0.150967E-002
  0.387852E+001  0.295677E+002  0.295000E+002  0.000000E+000 -0.129913E-003  0.412784E-004  0.136313E-003  0.139382E-002  0.458704E-003  0.146736E-002
  0.386546E+001  0.296675E+002  0.296000E+002  0.000000E+000  0.617249E-004 -0.412810E-004  0.742569E-004 -0.135314E-002 -0.400787E-003  0.141125E-002
  0.385249E+001  0.297673E+002  0.297000E+002  0.000000E+000 -0.440119E-004 -0.137494E-004  0.461095E-004  0.134510E-002  0.388595E-003  0.140010E-002
  0.383960E+001  0.298670E+002  0.298000E+002  0.000000E+000  0.840713E-004  0.439559E-004  0.948688E-004 -0.138480E-002 -0.362534E-003  0.143147E-002
  0.382679E+001  0.299668E+002  0.299000E+002  0.000000E+000 -0.126969E-003 -0.231349E-004  0.129059E-003  0.143042E-002  0.291061E-003  0.145973E-002
  0.381407E+001  0.300666E+002  0.300000E+002  0.000000E+000  0.133695E-003 -0.247958E-004  0.135975E-003 -0.144085E-002 -0.192743E-003  0.145369E-002
  0.380144E+001  0.301664E+002  0.301000E+002  0.000000E+000 -0.976842E-004  0.570197E-004  0.113108E-003  0.141044E-002  0.109225E-003  0.141466E-002
  0.378889E+001  0.302662E+002  0.302000E+002  0.000000E+000  0.551630E-004 -0.432204E-004  0.700782E-004 -0.137188E-002 -0.664396E-004  0.137349E-002
  0.377642E+001  0.303659E+002  0.303000E+002  0.000000E+000 -0.490057E-004  0.321123E-005  0.491108E-004  0.136336E-002  0.484602E-004  0.136422E-002
  0.376403E+001  0.304657E+002  0.304000E+002  0.000000E+000  0.830149E-004  0.206111E-004  0.855353E-004 -0.139029E-002 -0.148944E-004  0.139037E-002
  0.375173E+001  0.305655E+002  0.305000E+002  0.000000E+000 -0.127320E-003  0.209782E-005  0.127337E-003  0.141992E-002 -0.615991E-004  0.142126E-002
  0.373950E+001  0.306653E+002  0.306000E+002  0.000000E+000  0.127272E-003 -0.626678E-004  0.141864E-003 -0.140642E-002  0.163989E-003  0.141595E-002
  0.372736E+001  0.307651E+002  0.307000E+002  0.000000E+000 -0.665360E-004  0.894176E-004  0.111456E-003  0.134626E-002 -0.235108E-003  0.136663E-002
  0.371529E+001  0.308649E+002  0.308000E+002  0.000000E+000  0.227559E-004 -0.424733E-004  0.481852E-004 -0.129824E-002  0.250286E-003  0.132215E-002
  0.370330E+001  0.309647E+002  0.309000E+002  0.000000E+000 -0.532977E-004 -0.723483E-005  0.537865E-004  0.130439E-002 -0.259976E-003  0.133005E-002
  0.369139E+001  0.310644E+002  0.310000E+002  0.000000E+000  0.105545E-003 -0.608393E-005  0.105720E-003 -0.133078E-002  0.316516E-003  0.136790E-002
  0.367955E+001  0.311642E+002  0.311000E+002  0.000000E+000 -0.115375E-003  0.560918E-004  0.128288E-003  0.132333E-002 -0.407424E-003  0.138463E-002
  0.366779E+001  0.312640E+002  0.312000E+002  0.000000E+000  0.803761E-004 -0.894998E-004  0.120294E-003 -0.127234E-002  0.485623E-003  0.136187E-002
  0.365610E+001  0.313638E+002  0.313000E+002  0.000000E+000 -0.363128E-004  0.788991E-004  0.868545E-004  0.121046E-002 -0.523035E-003  0.131863E-002
  0.364449E+001  0.314636E+002  0.314000E+002  0.000000E+000  0.262596E-004 -0.392702E-004  0.472410E-004 -0.117628E-002  0.533316E-003  0.129153E-002
  0.363295E+001  0.315634E+002  0.315000E+002  0.000000E+000 -0.555861E-004  0.163870E-004  0.579513E-004  0.117591E-002 -0.555514E-003  0.130052E-002
  0.362148E+001  0.316632E+002  0.316000E+002  0.000000E+000  0.895921E-004 -0.322451E-004  0.952181E-004 -0.117985E-002  0.612676E-003  0.132945E-002
  0.361009E+001  0.317630E+002  0.317000E+002  0.000000E+000 -0.957820E-004  0.747601E-004  0.121504E-003  0.115372E-002 -0.692923E-003  0.134581E-002
  0.359877E+001  0.318628E+002  0.318000E+002  0.000000E+000  0.568745E-004 -0.108336E-003  0.122358E-003 -0.108710E-002  0.757968E-003  0.132525E-002
  0.358752E+001  0.319626E+002  0.319000E+002  0.000000E+000 -0.407868E-005  0.858912E-004  0.859880E-004  0.101402E-002 -0.774991E-003  0.127626E-002
  0.357633E+001  0.320624E+002  0.320000E+002  0.000000E+000  0.827592E-005 -0.277943E-004  0.290003E-004 -0.985066E-003  0.766562E-003  0.124819E-002
  0.356522E+001  0.321622E+002  0.321000E+002  0.000000E+000 -0.644180E-004  0.176484E-004  0.667918E-004  0.993855E-003 -0.792754E-003  0.127130E-002
  0.355418E+001  0.322621E+002  0.322000E+002  0.000000E+000  0.898357E-004 -0.675889E-004  0.112422E-003 -0.980744E-003  0.864963E-003  0.130768E-002
  0.354320E+001  0.323619E+002  0.323000E+002  0.000000E+000 -0.562433E-004  0.109083E-003  0.122729E-003  0.918139E-003 -0.933604E-003  0.130943E-002
  0.353229E+001  0.324617E+002  0.324000E+002  0.000000E+000  0.814747E-005 -0.101548E-003  0.101874E-003 -0.837960E-003  0.959476E-003  0.127388E-002
  0.352145E+001  0.325615E+002  0.325000E+002  0.000000E+000  0.776721E-005  0.609609E-004  0.614538E-004  0.783995E-003 -0.952894E-003  0.123396E-002
  0.351068E+001  0.326613E+002  0.326000E+002  0.000000E+000  0.193206E-004 -0.324558E-004  0.377712E-004 -0.766826E-003  0.954173E-003  0.122412E-002
  0.349997E+001  0.327611E+002  0.327000E+002  0.000000E+000 -0.537000E-004  0.462803E-004  0.708911E-004  0.756982E-003 -0.989776E-003  0.124607E-002
  0.348932E+001  0.328609E+002  0.328000E+002  0.000000E+000  0.568954E-004 -0.828395E-004  0.100496E-003 -0.720049E-003  0.104646E-002  0.127026E-002
  0.347875E+001  0.329607E+002  0.329000E+002  0.000000E+000 -0.281782E-004  0.107886E-003  0.111505E-003  0.650427E-003 -0.109110E-002  0.127026E-002
  0.346823E+001  0.330606E+002  0.330000E+002  0.000000E+000 -0.134447E-004 -0.996458E-004  0.100549E-003 -0.571093E-003  0.110004E-002  0.123945E-002
  0.345778E+001  0.331604E+002  0.331000E+002  0.000000E+000  0.283549E-004  0.545718E-004  0.614986E-004  0.519398E-003 -0.107940E-002  0.119786E-002
  0.344739E+001  0.332602E+002  0.332000E+002  0.000000E+000  0.118142E-004 -0.233338E-004  0.261542E-004 -0.509052E-003  0.107312E-002  0.118773E-002
  0.343706E+001  0.333600E+002  0.333000E+002  0.000000E+000 -0.545913E-004  0.561564E-004  0.783183E-004  0.497803E-003 -0.111358E-002  0.121978E-002
  0.342679E+001  0.334598E+002  0.334000E+002  0.000000E+000  0.351247E-004 -0.108725E-003  0.114258E-003 -0.439281E-003  0.116809E-002  0.124796E-002
  0.341659E+001  0.335596E+002  0.335000E+002  0.000000E+000  0.190635E-004  0.111293E-003  0.112913E-003  0.350452E-003 -0.118346E-002  0.123426E-002
  0.340644E+001  0.336595E+002  0.336000E+002  0.000000E+000 -0.434421E-004 -0.691861E-004  0.816942E-004 -0.282954E-003  0.115775E-002  0.119183E-002
  0.339636E+001  0.337593E+002  0.337000E+002  0.000000E+000  0.203317E-004  0.332446E-004  0.389690E-004  0.256838E-003 -0.113307E-002  0.116182E-002
  0.338633E+001  0.338591E+002  0.338000E+002  0.000000E+000  0.184355E-004 -0.399595E-004  0.440072E-004 -0.245317E-003  0.114295E-002  0.116898E-002
  0.337637E+001  0.339589E+002  0.339000E+002  0.000000E+000 -0.260619E-004  0.779079E-004  0.821515E-004  0.208763E-003 -0.117850E-002  0.119684E-002
  0.336646E+001  0.340588E+002  0.340000E+002  0.000000E+000 -0.402964E-005 -0.101108E-003  0.101188E-003 -0.138959E-003  0.120260E-002  0.121060E-002
  0.335661E+001  0.341586E+002  0.341000E+002  0.000000E+000  0.380710E-004  0.904024E-004  0.980917E-004  0.621091E-004 -0.119372E-002  0.119534E-002
  0.334682E+001  0.342584E+002  0.342000E+002  0.000000E+000 -0.515197E-004 -0.581701E-004  0.777048E-004 -0.688669E-005  0.116074E-002  0.116076E-002
