 % the field is uss
 %psi, R, x, z, re(u), im(u), abs(u), re(w), im(w), abs(w)
  0.226199E+002  0.520000E+001  0.480000E+001  0.000000E+000  0.754251E-002 -0.133145E-002  0.765912E-002 -0.155445E-001  0.341291E-002  0.159147E-001
  0.222035E+002  0.529245E+001  0.490000E+001  0.000000E+000 -0.592250E-002  0.447072E-002  0.742046E-002  0.132619E-001 -0.835024E-002  0.156718E-001
  0.218014E+002  0.538516E+001  0.500000E+001  0.000000E+000  0.294680E-002 -0.543958E-002  0.618649E-002 -0.931770E-002  0.111293E-001  0.145149E-001
  0.214130E+002  0.547814E+001  0.510000E+001  0.000000E+000 -0.110156E-002  0.442770E-002  0.456267E-002  0.583944E-002 -0.117611E-001  0.131310E-001
  0.210375E+002  0.557136E+001  0.520000E+001  0.000000E+000  0.100286E-002 -0.365038E-002  0.378563E-002 -0.359936E-002  0.118891E-001  0.124220E-001
  0.206744E+002  0.566480E+001  0.530000E+001  0.000000E+000 -0.104639E-002  0.413592E-002  0.426623E-002  0.161262E-002 -0.125247E-001  0.126281E-001
  0.203231E+002  0.575847E+001  0.540000E+001  0.000000E+000  0.126849E-003 -0.498626E-002  0.498788E-002  0.110064E-002  0.131734E-001  0.132193E-001
  0.199831E+002  0.585235E+001  0.550000E+001  0.000000E+000  0.157244E-002  0.521305E-002  0.544504E-002 -0.447703E-002 -0.128791E-001  0.136351E-001
  0.196538E+002  0.594643E+001  0.560000E+001  0.000000E+000 -0.334401E-002 -0.430441E-002  0.545072E-002  0.767810E-002  0.111524E-001  0.135399E-001
  0.193348E+002  0.604070E+001  0.570000E+001  0.000000E+000  0.412816E-002  0.249700E-002  0.482460E-002 -0.969649E-002 -0.840359E-002  0.128313E-001
  0.190256E+002  0.613514E+001  0.580000E+001  0.000000E+000 -0.357986E-002 -0.107038E-002  0.373646E-002  0.102970E-001  0.579670E-002  0.118165E-001
  0.187258E+002  0.622977E+001  0.590000E+001  0.000000E+000  0.281446E-002  0.879211E-003  0.294860E-002 -0.103807E-001 -0.408885E-002  0.111569E-001
  0.184349E+002  0.632456E+001  0.600000E+001  0.000000E+000 -0.299401E-002 -0.123882E-002  0.324018E-002  0.109246E-001  0.280481E-002  0.112789E-001
  0.181527E+002  0.641950E+001  0.610000E+001  0.000000E+000  0.396904E-002  0.877437E-003  0.406487E-002 -0.118298E-001 -0.928112E-003  0.118661E-001
  0.178787E+002  0.651460E+001  0.620000E+001  0.000000E+000 -0.450123E-002  0.599408E-003  0.454097E-002  0.120816E-001 -0.179779E-002  0.122146E-001
  0.176126E+002  0.660984E+001  0.630000E+001  0.000000E+000  0.370666E-002 -0.212272E-002  0.427145E-002 -0.110230E-001  0.446426E-002  0.118927E-001
  0.173540E+002  0.670522E+001  0.640000E+001  0.000000E+000 -0.233941E-002  0.247406E-002  0.340497E-002  0.924446E-002 -0.608881E-002  0.110695E-001
  0.171027E+002  0.680074E+001  0.650000E+001  0.000000E+000  0.169397E-002 -0.200246E-002  0.262286E-002 -0.779095E-002  0.681393E-002  0.103503E-001
  0.168584E+002  0.689638E+001  0.660000E+001  0.000000E+000 -0.180425E-002  0.180604E-002  0.255286E-002  0.688847E-002 -0.747591E-002  0.101656E-001
  0.166208E+002  0.699214E+001  0.670000E+001  0.000000E+000  0.195280E-002 -0.219685E-002  0.293931E-002 -0.601746E-002  0.849676E-002  0.104118E-001
  0.163895E+002  0.708802E+001  0.680000E+001  0.000000E+000 -0.167053E-002  0.291151E-002  0.335671E-002  0.466512E-002 -0.966792E-002  0.107346E-001
  0.161645E+002  0.718401E+001  0.690000E+001  0.000000E+000  0.770617E-003 -0.344236E-002  0.352757E-002 -0.271885E-002  0.104448E-001  0.107929E-001
  0.159454E+002  0.728011E+001  0.700000E+001  0.000000E+000  0.335287E-003  0.322111E-002  0.323851E-002  0.632130E-003 -0.103830E-001  0.104022E-001
  0.157320E+002  0.737631E+001  0.710000E+001  0.000000E+000 -0.843524E-003 -0.242613E-002  0.256859E-002  0.917596E-003  0.967847E-002  0.972187E-002
  0.155241E+002  0.747262E+001  0.720000E+001  0.000000E+000  0.613227E-003  0.189443E-002  0.199121E-002 -0.179258E-002 -0.903780E-002  0.921386E-002
  0.153215E+002  0.756902E+001  0.730000E+001  0.000000E+000 -0.325124E-003 -0.208869E-002  0.211385E-002  0.255375E-002  0.887477E-002  0.923489E-002
  0.151240E+002  0.766551E+001  0.740000E+001  0.000000E+000  0.702919E-003  0.260527E-002  0.269843E-002 -0.379294E-002 -0.884236E-002  0.962153E-002
  0.149314E+002  0.776209E+001  0.750000E+001  0.000000E+000 -0.166749E-002 -0.255183E-002  0.304834E-002  0.539646E-002  0.823704E-002  0.984737E-002
  0.147436E+002  0.785875E+001  0.760000E+001  0.000000E+000  0.227559E-002  0.169140E-002  0.283534E-002 -0.662588E-002 -0.691187E-002  0.957477E-002
  0.145603E+002  0.795550E+001  0.770000E+001  0.000000E+000 -0.203711E-002 -0.877388E-003  0.221802E-002  0.708314E-002  0.550757E-002  0.897241E-002
  0.143814E+002  0.805233E+001  0.780000E+001  0.000000E+000  0.158357E-002  0.734850E-003  0.174576E-002 -0.718061E-002 -0.457119E-002  0.851217E-002
  0.142068E+002  0.814923E+001  0.790000E+001  0.000000E+000 -0.153019E-002 -0.932932E-003  0.179217E-002  0.746421E-002  0.396179E-002  0.845046E-002
  0.140362E+002  0.824621E+001  0.800000E+001  0.000000E+000  0.185531E-002  0.990769E-003  0.210328E-002 -0.802546E-002 -0.324260E-002  0.865577E-002
  0.138697E+002  0.834326E+001  0.810000E+001  0.000000E+000 -0.229077E-002 -0.668674E-003  0.238637E-002  0.858660E-002  0.214428E-002  0.885029E-002
  0.137070E+002  0.844038E+001  0.820000E+001  0.000000E+000  0.242451E-002 -0.128519E-004  0.242455E-002 -0.875542E-002 -0.747684E-003  0.878729E-002
  0.135479E+002  0.853756E+001  0.830000E+001  0.000000E+000 -0.203298E-002  0.592753E-003  0.211763E-002  0.838472E-002 -0.525094E-003  0.840115E-002
  0.133925E+002  0.863481E+001  0.840000E+001  0.000000E+000  0.148716E-002 -0.650099E-003  0.162305E-002 -0.779939E-002  0.132248E-002  0.791072E-002
  0.132405E+002  0.873212E+001  0.850000E+001  0.000000E+000 -0.132046E-002  0.348884E-003  0.136577E-002  0.746480E-002 -0.177646E-002  0.767327E-002
  0.130919E+002  0.882950E+001  0.860000E+001  0.000000E+000  0.163820E-002 -0.237006E-003  0.165526E-002 -0.746534E-002  0.236327E-002  0.783047E-002
  0.129465E+002  0.892693E+001  0.870000E+001  0.000000E+000 -0.196231E-002  0.690188E-003  0.208014E-002  0.738385E-002 -0.336212E-002  0.811327E-002
  0.128043E+002  0.902441E+001  0.880000E+001  0.000000E+000  0.169727E-002 -0.136150E-002  0.217586E-002 -0.678008E-002  0.446531E-002  0.811840E-002
  0.126651E+002  0.912195E+001  0.890000E+001  0.000000E+000 -0.102017E-002  0.152873E-002  0.183787E-002  0.580110E-002 -0.513063E-002  0.774442E-002
  0.125288E+002  0.921954E+001  0.900000E+001  0.000000E+000  0.657419E-003 -0.118869E-002  0.135837E-002 -0.499097E-002  0.531727E-002  0.729267E-002
  0.123954E+002  0.931719E+001  0.910000E+001  0.000000E+000 -0.767611E-003  0.947732E-003  0.121960E-002  0.454952E-002 -0.546361E-002  0.710979E-002
  0.122648E+002  0.941488E+001  0.920000E+001  0.000000E+000  0.956888E-003 -0.106574E-002  0.143229E-002 -0.420917E-002  0.585957E-002  0.721469E-002
  0.121368E+002  0.951262E+001  0.930000E+001  0.000000E+000 -0.930513E-003  0.140261E-002  0.168320E-002  0.365709E-002 -0.642446E-002  0.739243E-002
  0.120115E+002  0.961041E+001  0.940000E+001  0.000000E+000  0.585393E-003 -0.169488E-002  0.179313E-002 -0.279526E-002  0.687763E-002  0.742396E-002
  0.118887E+002  0.970824E+001  0.950000E+001  0.000000E+000 -0.927324E-004  0.165201E-002  0.165461E-002  0.181349E-002 -0.697098E-002  0.720301E-002
  0.117683E+002  0.980612E+001  0.960000E+001  0.000000E+000 -0.161282E-003 -0.130439E-002  0.131432E-002 -0.104425E-002  0.674878E-002  0.682909E-002
  0.116503E+002  0.990404E+001  0.970000E+001  0.000000E+000  0.426467E-004  0.102449E-002  0.102538E-002  0.607850E-003 -0.653448E-002  0.656269E-002
  0.115346E+002  0.100020E+002  0.980000E+001  0.000000E+000  0.189016E-003 -0.110218E-002  0.111827E-002 -0.270986E-003  0.658657E-002  0.659214E-002
  0.114212E+002  0.101000E+002  0.990000E+001  0.000000E+000 -0.124125E-003  0.145616E-002  0.146144E-002 -0.315759E-003 -0.680639E-002  0.681371E-002
  0.113099E+002  0.101980E+002  0.100000E+002  0.000000E+000 -0.357347E-003 -0.161169E-002  0.165083E-002  0.120552E-002  0.680253E-002  0.690853E-002
  0.112008E+002  0.102961E+002  0.101000E+002  0.000000E+000  0.781587E-003  0.126567E-002  0.148755E-002 -0.202153E-002 -0.637132E-002  0.668433E-002
  0.110937E+002  0.103942E+002  0.102000E+002  0.000000E+000 -0.717010E-003 -0.821621E-003  0.109049E-002  0.244062E-002  0.580946E-002  0.630130E-002
  0.109887E+002  0.104924E+002  0.103000E+002  0.000000E+000  0.438906E-003  0.759427E-003  0.877136E-003 -0.262928E-002 -0.549417E-002  0.609089E-002
  0.108855E+002  0.105906E+002  0.104000E+002  0.000000E+000 -0.388946E-003 -0.963614E-003  0.103915E-002  0.294321E-002  0.540198E-002  0.615174E-002
