 % the field is ups
 %psi, re(u), im(u), abs(u), re(w), im(w), abs(w)
  33.50  0.186065E-003 -0.111126E-003  0.216724E-003 -0.857764E-004  0.574200E-004  0.103221E-003
  34.00  0.331561E-004  0.191099E-003  0.193954E-003 -0.274992E-004 -0.907033E-004  0.947803E-004
  34.50 -0.154197E-003 -0.195435E-004  0.155431E-003  0.805164E-004 -0.674099E-005  0.807981E-004
  35.00  0.291713E-004 -0.101701E-003  0.105802E-003  0.139088E-005  0.646175E-004  0.646325E-004
  35.50  0.619245E-004 -0.193693E-005  0.619548E-004 -0.529512E-004  0.106532E-004  0.540122E-004
  36.00  0.567105E-004  0.532211E-004  0.777726E-004 -0.286598E-004 -0.518839E-004  0.592733E-004
  36.50 -0.790857E-004  0.113318E-003  0.138187E-003  0.625536E-004 -0.479718E-004  0.788305E-004
  37.00 -0.154268E-003 -0.130119E-003  0.201816E-003  0.627257E-004  0.815930E-004  0.102917E-003
  37.50  0.189925E-003 -0.171393E-003  0.255826E-003 -0.103187E-003  0.703186E-004  0.124869E-003
  38.00  0.166193E-003  0.241510E-003  0.293168E-003 -0.714699E-004 -0.121274E-003  0.140767E-003
  38.50 -0.271816E-003  0.146899E-003  0.308971E-003  0.131080E-003 -0.691411E-004  0.148198E-003
  39.00 -0.124217E-003 -0.273580E-003  0.300460E-003  0.670010E-004  0.129736E-003  0.146015E-003
  39.50  0.244966E-003 -0.107416E-003  0.267482E-003 -0.116134E-003  0.680040E-004  0.134580E-003
  40.00  0.101661E-003  0.187997E-003  0.213724E-003 -0.733952E-004 -0.904358E-004  0.116471E-003
  40.50 -0.106910E-003  0.106816E-003  0.151127E-003  0.535954E-004 -0.822282E-004  0.981527E-004
  41.00 -0.117539E-003 -0.717028E-005  0.117758E-003  0.913618E-004  0.720634E-005  0.916456E-004
  41.50 -0.104524E-003 -0.124417E-003  0.162495E-003  0.462431E-004  0.958893E-004  0.106457E-003
  42.00  0.115971E-003 -0.219389E-003  0.248155E-003 -0.900103E-004  0.102776E-003  0.136619E-003
  42.50  0.325410E-003  0.815171E-004  0.335465E-003 -0.156264E-003 -0.683947E-004  0.170577E-003
  43.00 -0.148189E-004  0.406772E-003  0.407042E-003  0.280476E-004 -0.198142E-003  0.200117E-003
  43.50 -0.444964E-003  0.818338E-004  0.452426E-003  0.218042E-003 -0.295095E-004  0.220030E-003
  44.00 -0.194105E-003 -0.422509E-003  0.464963E-003  0.962811E-004  0.205885E-003  0.227285E-003
  44.50  0.329683E-003 -0.294445E-003  0.442029E-003 -0.155611E-003  0.157056E-003  0.221091E-003
  45.00  0.345613E-003  0.173151E-003  0.386561E-003 -0.191187E-003 -0.699977E-004  0.203598E-003
  45.50  0.165711E-004  0.310817E-003  0.311258E-003 -0.350902E-004 -0.177993E-003  0.181419E-003
  46.00 -0.170331E-003  0.183951E-003  0.250700E-003  0.105782E-003 -0.129825E-003  0.167465E-003
  46.50 -0.259244E-003  0.596812E-004  0.266025E-003  0.176038E-003 -0.177720E-004  0.176933E-003
  47.00 -0.315426E-003 -0.184058E-003  0.365200E-003  0.158907E-003  0.140972E-003  0.212425E-003
  47.50 -0.531327E-004 -0.493213E-003  0.496066E-003 -0.166844E-004  0.261496E-003  0.262028E-003
  48.00  0.485568E-003 -0.387239E-003  0.621072E-003 -0.266254E-003  0.163315E-003  0.312351E-003
  48.50  0.676633E-003  0.241174E-003  0.718330E-003 -0.323304E-003 -0.143214E-003  0.353604E-003
  49.00  0.177517E-003  0.753164E-003  0.773801E-003 -0.764361E-004 -0.371655E-003  0.379433E-003
  49.50 -0.518002E-003  0.582991E-003  0.779875E-003  0.252483E-003 -0.293003E-003  0.386780E-003
  50.00 -0.735774E-003 -0.385132E-004  0.736781E-003  0.376496E-003 -0.112036E-005  0.376497E-003
  50.50 -0.431361E-003 -0.494878E-003  0.656488E-003  0.254146E-003  0.247426E-003  0.354697E-003
  51.00 -0.353481E-004 -0.570026E-003  0.571121E-003  0.426289E-004  0.331689E-003  0.334417E-003
  51.50  0.222085E-003 -0.493727E-003  0.541376E-003 -0.144271E-003  0.301708E-003  0.334428E-003
  52.00  0.472864E-003 -0.404027E-003  0.621964E-003 -0.307450E-003  0.203543E-003  0.368721E-003
  52.50  0.784685E-003 -0.129446E-003  0.795291E-003 -0.434260E-003  0.491404E-005  0.434287E-003
  53.00  0.895456E-003  0.457973E-003  0.100577E-002 -0.423460E-003 -0.294631E-003  0.515874E-003
  53.50  0.494522E-003  0.110316E-002  0.120893E-002 -0.186980E-003 -0.567282E-003  0.597302E-003
  54.00 -0.353772E-003  0.132834E-002  0.137464E-002  0.214966E-003 -0.630283E-003  0.665933E-003
  54.50 -0.118510E-002  0.891494E-003  0.148298E-002  0.584522E-003 -0.408707E-003  0.713237E-003
  55.00 -0.152314E-002  0.163340E-004  0.152323E-002  0.734952E-003 -0.559064E-005  0.734973E-003
  55.50 -0.125255E-002 -0.816370E-003  0.149511E-002  0.622763E-003  0.384143E-003  0.731710E-003
  56.00 -0.637164E-003 -0.125964E-002  0.141162E-002  0.348456E-003  0.618245E-003  0.709682E-003
  56.50 -0.374287E-004 -0.130338E-002  0.130391E-002  0.516070E-004  0.679653E-003  0.681610E-003
  57.00  0.372945E-003 -0.116773E-002  0.122584E-002 -0.191264E-003  0.638027E-003  0.666078E-003
  57.50  0.667319E-003 -0.104986E-002  0.124400E-002 -0.388740E-003  0.560807E-003  0.682366E-003
  58.00  0.101525E-002 -0.958161E-003  0.139600E-002 -0.583198E-003  0.456161E-003  0.740407E-003
  58.50  0.148865E-002 -0.737428E-003  0.166129E-002 -0.786093E-003  0.282152E-003  0.835196E-003
  59.00  0.197794E-002 -0.221210E-003  0.199027E-002 -0.952232E-003 -0.185132E-005  0.952234E-003
  59.50  0.225318E-002  0.622974E-003  0.233772E-002 -0.100327E-002 -0.388465E-003  0.107585E-002
  60.00  0.210137E-002  0.164887E-002  0.267105E-002 -0.875040E-003 -0.811367E-003  0.119332E-002
  60.50  0.144286E-002  0.259416E-002  0.296842E-002 -0.555104E-003 -0.117067E-002  0.129561E-002
  61.00  0.368649E-003  0.319492E-002  0.321611E-002 -0.914836E-004 -0.137400E-002  0.137704E-002
