 % the field is pps
% Dinn5 settings , t1, t2, t3, t4, tm, tp, eps, step, IntLimit
%   0.250000E+001  0.250000E+001  0.250000E+001  0.280000E+002  0.200000E-001  0.000000E+000  0.100000E-005  0.100000E-001  0.100000E+006
%psi, R, x, z, re(u), im(u), abs(u), re(w), im(w), abs(w), fieldCode, cp(1), cp(2), cs(1), cs(2), rho(1), rho(2), h, w
  0.192500E+003  0.300000E+002 -0.292889E+002 -0.749319E+001  0.986139E-003 -0.303960E-002  0.319556E-002  0.222873E-003 -0.686965E-003  0.722214E-003  0.120000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.193000E+003  0.300000E+002 -0.292311E+002 -0.774853E+001  0.109864E-002 -0.310089E-002  0.328976E-002  0.258570E-003 -0.729807E-003  0.774258E-003  0.120000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.193500E+003  0.300000E+002 -0.291711E+002 -0.800336E+001  0.121643E-002 -0.315396E-002  0.338041E-002  0.297709E-003 -0.771901E-003  0.827322E-003  0.120000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.194000E+003  0.300000E+002 -0.291089E+002 -0.825766E+001  0.133918E-002 -0.319836E-002  0.346741E-002  0.340373E-003 -0.812912E-003  0.881295E-003  0.120000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.194500E+003  0.300000E+002 -0.290444E+002 -0.851140E+001  0.146652E-002 -0.323364E-002  0.355065E-002  0.386620E-003 -0.852487E-003  0.936061E-003  0.120000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.195000E+003  0.300000E+002 -0.289778E+002 -0.876457E+001  0.159802E-002 -0.325934E-002  0.363001E-002  0.436481E-003 -0.890255E-003  0.991499E-003  0.120000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.195500E+003  0.300000E+002 -0.289089E+002 -0.901715E+001  0.173318E-002 -0.327507E-002  0.370540E-002  0.489954E-003 -0.925833E-003  0.104748E-002  0.120000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.196000E+003  0.300000E+002 -0.288379E+002 -0.926912E+001  0.187147E-002 -0.328040E-002  0.377669E-002  0.547011E-003 -0.958827E-003  0.110389E-002  0.120000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.196500E+003  0.300000E+002 -0.287646E+002 -0.952046E+001  0.201229E-002 -0.327498E-002  0.384380E-002  0.607583E-003 -0.988834E-003  0.116058E-002  0.120000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.197000E+003  0.300000E+002 -0.286891E+002 -0.977115E+001  0.215500E-002 -0.325847E-002  0.390661E-002  0.671565E-003 -0.101544E-002  0.121742E-002  0.120000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
