 % the field is usp
 %psi, re(u), im(u), abs(u), re(w), im(w), abs(w)
  33.50 -0.116800E-004  0.650524E-003  0.650629E-003 -0.701087E-005  0.390473E-003  0.390536E-003
  34.00  0.334458E-004  0.656693E-003  0.657545E-003  0.204971E-004  0.402452E-003  0.402973E-003
  34.50  0.783959E-004  0.659447E-003  0.664090E-003  0.490437E-004  0.412543E-003  0.415448E-003
  35.00  0.122860E-003  0.658909E-003  0.670265E-003  0.784435E-004  0.420700E-003  0.427951E-003
  35.50  0.166549E-003  0.655234E-003  0.676070E-003  0.108510E-003  0.426898E-003  0.440473E-003
  36.00  0.209201E-003  0.648602E-003  0.681506E-003  0.139059E-003  0.431136E-003  0.453007E-003
  36.50  0.250576E-003  0.639215E-003  0.686574E-003  0.169908E-003  0.433433E-003  0.465546E-003
  37.00  0.290465E-003  0.627292E-003  0.691278E-003  0.200883E-003  0.433830E-003  0.478082E-003
  37.50  0.328684E-003  0.613068E-003  0.695619E-003  0.231816E-003  0.432387E-003  0.490609E-003
  38.00  0.365078E-003  0.596790E-003  0.699601E-003  0.262547E-003  0.429183E-003  0.503119E-003
  38.50  0.399521E-003  0.578716E-003  0.703227E-003  0.292930E-003  0.424316E-003  0.515608E-003
  39.00  0.431909E-003  0.559108E-003  0.706504E-003  0.322827E-003  0.417901E-003  0.528070E-003
  39.50  0.462170E-003  0.538233E-003  0.709434E-003  0.352116E-003  0.410066E-003  0.540500E-003
  40.00  0.490254E-003  0.516362E-003  0.712024E-003  0.380686E-003  0.400960E-003  0.552893E-003
  40.50  0.516134E-003  0.493764E-003  0.714281E-003  0.408442E-003  0.390740E-003  0.565246E-003
  41.00  0.539805E-003  0.470709E-003  0.716210E-003  0.435301E-003  0.379582E-003  0.577555E-003
  41.50  0.561284E-003  0.447466E-003  0.717819E-003  0.461197E-003  0.367675E-003  0.589820E-003
  42.00  0.580603E-003  0.424299E-003  0.719117E-003  0.486074E-003  0.355219E-003  0.602037E-003
  42.50  0.597811E-003  0.401475E-003  0.720111E-003  0.509892E-003  0.342431E-003  0.614206E-003
  43.00  0.612970E-003  0.379259E-003  0.720811E-003  0.532622E-003  0.329546E-003  0.626328E-003
  43.50  0.626150E-003  0.357918E-003  0.721227E-003  0.554245E-003  0.316816E-003  0.638404E-003
  44.00  0.637430E-003  0.337725E-003  0.721370E-003  0.574750E-003  0.304516E-003  0.650436E-003
  44.50  0.646889E-003  0.318963E-003  0.721251E-003  0.594131E-003  0.292950E-003  0.662428E-003
  45.00  0.654605E-003  0.301932E-003  0.720882E-003  0.612384E-003  0.282457E-003  0.674386E-003
  45.50  0.660645E-003  0.286959E-003  0.720276E-003  0.629496E-003  0.273429E-003  0.686315E-003
  46.00  0.665057E-003  0.274415E-003  0.719447E-003  0.645439E-003  0.266320E-003  0.698225E-003
  46.50  0.667854E-003  0.264739E-003  0.718411E-003  0.660150E-003  0.261685E-003  0.710125E-003
  47.00  0.668990E-003  0.258468E-003  0.717184E-003  0.673508E-003  0.260214E-003  0.722028E-003
  47.50  0.668319E-003  0.256308E-003  0.715782E-003  0.685280E-003  0.262813E-003  0.733948E-003
  48.00  0.665516E-003  0.259242E-003  0.714226E-003  0.695034E-003  0.270740E-003  0.745903E-003
  48.50  0.659906E-003  0.268755E-003  0.712534E-003  0.701934E-003  0.285872E-003  0.757914E-003
  49.00  0.650042E-003  0.287370E-003  0.710730E-003  0.704256E-003  0.311337E-003  0.770005E-003
  49.50  0.632365E-003  0.320256E-003  0.708836E-003  0.697816E-003  0.353403E-003  0.782203E-003
  50.00  0.593758E-003  0.383578E-003  0.706881E-003  0.667390E-003  0.431145E-003  0.794541E-003
  50.50  0.411431E-003  0.387462E-003  0.565157E-003  0.471064E-003  0.443620E-003  0.647070E-003
  51.00  0.360900E-003  0.305445E-003  0.472806E-003  0.420920E-003  0.356242E-003  0.551437E-003
  51.50  0.331842E-003  0.252330E-003  0.416881E-003  0.394271E-003  0.299801E-003  0.495308E-003
  52.00  0.309890E-003  0.211396E-003  0.375127E-003  0.375099E-003  0.255880E-003  0.454064E-003
  52.50  0.291418E-003  0.177859E-003  0.341406E-003  0.359382E-003  0.219340E-003  0.421029E-003
  53.00  0.274965E-003  0.149527E-003  0.312992E-003  0.345501E-003  0.187885E-003  0.393283E-003
  53.50  0.259820E-003  0.125170E-003  0.288399E-003  0.332666E-003  0.160264E-003  0.369257E-003
  54.00  0.245602E-003  0.104009E-003  0.266718E-003  0.320454E-003  0.135708E-003  0.348005E-003
  54.50  0.232094E-003  0.855103E-004  0.247345E-003  0.308628E-003  0.113708E-003  0.328908E-003
  55.00  0.219170E-003  0.692816E-004  0.229859E-003  0.297051E-003  0.939007E-004  0.311540E-003
  55.50  0.206755E-003  0.550235E-004  0.213952E-003  0.285649E-003  0.760193E-004  0.295591E-003
  56.00  0.194808E-003  0.424975E-004  0.199389E-003  0.274381E-003  0.598565E-004  0.280834E-003
  56.50  0.183303E-003  0.315072E-004  0.185991E-003  0.263234E-003  0.452462E-004  0.267094E-003
  57.00  0.172227E-003  0.218875E-004  0.173612E-003  0.252205E-003  0.320515E-004  0.254233E-003
  57.50  0.161575E-003  0.134963E-004  0.162137E-003  0.241303E-003  0.201560E-004  0.242144E-003
  58.00  0.151342E-003  0.620935E-005  0.151470E-003  0.230543E-003  0.945883E-005  0.230737E-003
  58.50  0.141530E-003 -0.832937E-007  0.141530E-003  0.219941E-003 -0.129441E-006  0.219941E-003
  59.00  0.132136E-003 -0.548009E-005  0.132250E-003  0.209517E-003 -0.868930E-005  0.209697E-003
  59.50  0.123161E-003 -0.100699E-004  0.123572E-003  0.199289E-003 -0.162942E-004  0.199954E-003
  60.00  0.114602E-003 -0.139332E-004  0.115446E-003  0.189276E-003 -0.230119E-004  0.190669E-003
  60.50  0.106458E-003 -0.171437E-004  0.107829E-003  0.179495E-003 -0.289055E-004  0.181808E-003
  61.00  0.987228E-004 -0.197686E-004  0.100683E-003  0.169963E-003 -0.340341E-004  0.173338E-003
  61.50  0.913922E-004 -0.218695E-004  0.939724E-004  0.160695E-003 -0.384533E-004  0.165232E-003
  62.00  0.844593E-004 -0.235031E-004  0.876685E-004  0.151703E-003 -0.422156E-004  0.157468E-003
  62.50  0.779160E-004 -0.247213E-004  0.817438E-004  0.142998E-003 -0.453708E-004  0.150023E-003
  63.00  0.717532E-004 -0.255720E-004  0.761738E-004  0.134590E-003 -0.479660E-004  0.142881E-003
  63.50  0.659607E-004 -0.260988E-004  0.709364E-004  0.126484E-003 -0.500462E-004  0.136025E-003
  64.00  0.605275E-004 -0.263421E-004  0.660113E-004  0.118687E-003 -0.516537E-004  0.129440E-003
  64.50  0.554416E-004 -0.263386E-004  0.613799E-004  0.111203E-003 -0.528289E-004  0.123113E-003
  65.00  0.506904E-004 -0.261219E-004  0.570251E-004  0.104032E-003 -0.536100E-004  0.117033E-003
  65.50  0.462609E-004 -0.257227E-004  0.529313E-004  0.971758E-004 -0.540332E-004  0.111188E-003
  66.00  0.421395E-004 -0.251688E-004  0.490837E-004  0.906329E-004 -0.541326E-004  0.105568E-003
  66.50  0.383127E-004 -0.244856E-004  0.454688E-004  0.844010E-004 -0.539407E-004  0.100165E-003
  67.00  0.347664E-004 -0.236960E-004  0.420738E-004  0.784762E-004 -0.534877E-004  0.949708E-004
  67.50  0.314867E-004 -0.228206E-004  0.388869E-004  0.728540E-004 -0.528023E-004  0.899766E-004
  68.00  0.284597E-004 -0.218779E-004  0.358971E-004  0.675286E-004 -0.519113E-004  0.851757E-004
  68.50  0.256716E-004 -0.208845E-004  0.330937E-004  0.624935E-004 -0.508399E-004  0.805614E-004
  69.00  0.231086E-004 -0.198550E-004  0.304669E-004  0.577412E-004 -0.496115E-004  0.761272E-004
  69.50  0.207575E-004 -0.188027E-004  0.280075E-004  0.532639E-004 -0.482479E-004  0.718673E-004
  70.00  0.186052E-004 -0.177390E-004  0.257066E-004  0.490531E-004 -0.467695E-004  0.677760E-004
  70.50  0.166389E-004 -0.166740E-004  0.235558E-004  0.450997E-004 -0.451950E-004  0.638480E-004
  71.00  0.148464E-004 -0.156165E-004  0.215474E-004  0.413945E-004 -0.435419E-004  0.600783E-004
  71.50  0.132157E-004 -0.145740E-004  0.196738E-004  0.379279E-004 -0.418261E-004  0.564619E-004
  72.00  0.117355E-004 -0.135530E-004  0.179278E-004  0.346900E-004 -0.400624E-004  0.529943E-004
  72.50  0.103949E-004 -0.125588E-004  0.163027E-004  0.316711E-004 -0.382643E-004  0.496711E-004
  73.00  0.918334E-005 -0.115962E-004  0.147921E-004  0.288611E-004 -0.364441E-004  0.464880E-004
  73.50  0.809101E-005 -0.106687E-004  0.133897E-004  0.262501E-004 -0.346129E-004  0.434409E-004
  74.00  0.710844E-005 -0.977924E-005  0.120898E-004  0.238281E-004 -0.327808E-004  0.405260E-004
  74.50  0.622674E-005 -0.893022E-005  0.108867E-004  0.215854E-004 -0.309571E-004  0.377395E-004
  75.00  0.543751E-005 -0.812326E-005  0.977516E-005  0.195123E-004 -0.291500E-004  0.350778E-004
  75.50  0.473286E-005 -0.735952E-005  0.875000E-005  0.175993E-004 -0.273667E-004  0.325372E-004
  76.00  0.410538E-005 -0.663969E-005  0.780638E-005  0.158373E-004 -0.256139E-004  0.301146E-004
  76.50  0.354815E-005 -0.596403E-005  0.693968E-005  0.142171E-004 -0.238973E-004  0.278067E-004
  77.00  0.305472E-005 -0.533242E-005  0.614540E-005  0.127301E-004 -0.222221E-004  0.256102E-004
  77.50  0.261908E-005 -0.474444E-005  0.541935E-005  0.113679E-004 -0.205928E-004  0.235222E-004
  78.00  0.223566E-005 -0.419939E-005  0.475743E-005  0.101222E-004 -0.190132E-004  0.215398E-004
  78.50  0.189932E-005 -0.369635E-005  0.415577E-005  0.898533E-005 -0.174867E-004  0.196601E-004
  79.00  0.160530E-005 -0.323416E-005  0.361065E-005  0.794976E-005 -0.160162E-004  0.178806E-004
  79.50  0.134922E-005 -0.281151E-005  0.311850E-005  0.700836E-005 -0.146040E-004  0.161986E-004
  80.00  0.112708E-005 -0.242697E-005  0.267591E-005  0.615434E-005 -0.132523E-004  0.146116E-004
  80.50  0.935192E-006 -0.207896E-005  0.227962E-005  0.538128E-005 -0.119627E-004  0.131174E-004
  81.00  0.770211E-006 -0.176582E-005  0.192649E-005  0.468307E-005 -0.107366E-004  0.117135E-004
  81.50  0.629081E-006 -0.148583E-005  0.161351E-005  0.405398E-005 -0.957509E-005  0.103979E-004
  82.00  0.509032E-006 -0.123718E-005  0.133781E-005  0.348862E-005 -0.847897E-005  0.916861E-005
  82.50  0.407551E-006 -0.101806E-005  0.109661E-005  0.298194E-005 -0.744890E-005  0.802360E-005
  83.00  0.322372E-006 -0.826603E-006  0.887241E-006  0.252925E-005 -0.648534E-005  0.696108E-005
  83.50  0.251449E-006 -0.660921E-006  0.707138E-006  0.212618E-005 -0.558856E-005  0.597935E-005
  84.00  0.192946E-006 -0.519128E-006  0.553825E-006  0.176870E-005 -0.475874E-005  0.507680E-005
  84.50  0.145215E-006 -0.399333E-006  0.424916E-006  0.145311E-005 -0.399597E-005  0.425198E-005
  85.00  0.106779E-006 -0.299644E-006  0.318101E-006  0.117604E-005 -0.330021E-005  0.350349E-005
  85.50  0.763161E-007 -0.218179E-006  0.231141E-006  0.934417E-006 -0.267139E-005  0.283010E-005
