% Model:              Layer on halfspace, reflected field.mph
% Version:            COMSOL 5.6.0.341
% Date:               May 14 2023, 19:38
% Dimension:          1
% Nodes:              1047
% Expressions:        1
% Description:        Line graph
% cln1x                   Height
0                         1.2929910690693262E-9
3.958119332510916E-6      1.2930003202296751E-9
2.5920242163687943E-5     1.2932348286005761E-9
4.275787569042546E-5      1.2923023608568143E-9
6.41156165529013E-5       1.2904850104534013E-9
8.133598638482182E-5      1.288815824179774E-9
1.0231099094211451E-4     1.286722353444903E-9
1.1991409707921858E-4     1.284886282006896E-9
1.405063653313276E-4      1.2824024044180014E-9
1.5849220777361533E-4     1.2795585564596782E-9
1.7893292302186383E-4     1.2746711410419268E-9
1.972246558429819E-4      1.2703825464839105E-9
2.1756522651808271E-4     1.26551359758032E-9
2.358291431147284E-4      1.2597675008907034E-9
2.5574214906254984E-4     1.2524521275029871E-9
2.742921116283929E-4      1.24495201794751E-9
2.939190716070172E-4      1.2364548884120236E-9
3.127550801420572E-4      1.227746620443702E-9
3.320959941514844E-4      1.2180616923325022E-9
3.5121804865572196E-4     1.2074002450719008E-9
3.705978721738179E-4      1.1948548362695115E-9
3.9011149637370533E-4     1.1822443269409141E-9
4.0942585144996684E-4     1.1697704141533106E-9
4.288361842816272E-4      1.1563123622872037E-9
4.4784992921821767E-4     1.1424748268367434E-9
4.673943942554707E-4      1.1278453960699505E-9
4.8627400698646867E-4     1.1134062175697042E-9
5.05952604229314E-4       1.0979283692529256E-9
5.246980847547194E-4      1.08249445583035E-9
5.445108142031577E-4      1.0649467471140104E-9
5.631570274393828E-4      1.0468537737873658E-9
5.832557792627244E-4      1.0270554191678512E-9
6.016530856056475E-4      1.0089155330815493E-9
6.220519806375024E-4      9.883899150473423E-10
6.403661060607285E-4      9.695871389705103E-10
6.608945072529367E-4      9.484375871261164E-10
6.790791265158093E-4      9.297905283436405E-10
6.997370338683708E-4      9.086439877359222E-10
7.177921469708903E-4      8.898830485561168E-10
7.385795604838053E-4      8.672188298968241E-10
7.56586390372577E-4       8.467666040221186E-10
7.775945162189127E-4      8.220370376020914E-10
7.954748238891804E-4      8.007444810575308E-10
8.166379777965967E-4      7.753988976940748E-10
8.344265312368951E-4      7.53682532208068E-10
8.557055558504154E-4      7.275382701570885E-10
8.733782385846099E-4      7.060260847135081E-10
8.947731339042339E-4      6.805978515782442E-10
9.123299459323248E-4      6.603259578469361E-10
9.338407119580526E-4      6.358918410222091E-10
9.515268139332131E-4      6.170313318657196E-10
9.732857653376255E-4      5.942605629528381E-10
9.910260505592678E-4      5.767862509852748E-10
0.0010125815675651735     5.571816287344095E-10
0.0010300923361275145     5.418639231340511E-10
0.001051755380099614      5.231714519690832E-10
0.0010691586216957612     5.082371001290058E-10
0.0010909291926340541     4.896587814564124E-10
0.0011082249072640088     4.749720881863694E-10
0.001130103005168495      4.5626862896468163E-10
0.001147088143469398      4.4283100901406116E-10
0.001168949449934328      4.2541066034369626E-10
0.0011856929269555743     4.1263414699390693E-10
0.001208236862176066      3.9661766466259087E-10
0.001225378526318753      3.8553398938371353E-10
