% Model:              Layer on halfspace, reflected field.mph
% Version:            COMSOL 5.6.0.341
% Date:               May 14 2023, 19:32
% Dimension:          2
% Nodes:              201
% Expressions:        2
% Description:        , 
% Length unit:        m
% X                       Y                        abs(u) (mm) @ freq=1E7   abs(v) (mm) @ freq=1E7
0                         -0.003                   3.9168888800656114E-10   1.0932712446429372E-6
1.0E-4                    -0.003                   8.16070339832747E-8      1.0921063996130273E-6
2.0E-4                    -0.003                   1.7049232682183253E-7    1.087939807168617E-6
3.0000000000000003E-4     -0.003                   2.6559876281205584E-7    1.0776499746061303E-6
4.0E-4                    -0.003                   3.661693946154619E-7     1.0632088883656744E-6
5.0E-4                    -0.003                   4.6549907657386923E-7    1.0453749141055664E-6
6.000000000000001E-4      -0.003                   5.656141268900643E-7     1.0122091270782057E-6
7.0E-4                    -0.003                   6.699642977158456E-7     9.66387378431514E-7
8.0E-4                    -0.003                   7.814993643095249E-7     9.000684623172592E-7
9.000000000000001E-4      -0.003                   8.882148416065847E-7     8.156270118080364E-7
0.001                     -0.003                   9.768023819661327E-7     7.2495955043744E-7
0.0011                    -0.003                   1.0691350924989495E-6    6.307633168831899E-7
0.0012000000000000001     -0.003                   1.1507863480791026E-6    5.231949750632641E-7
0.0013000000000000002     -0.003                   1.2052967014268569E-6    4.3304329281041105E-7
0.0014                    -0.003                   1.218571611496399E-6     4.116581503128049E-7
0.0015                    -0.003                   1.226059320340629E-6     4.767662401643253E-7
0.0016                    -0.003                   1.1824723231973561E-6    6.12618799054649E-7
0.0017000000000000001     -0.003                   1.1064372236430504E-6    7.512690856360583E-7
0.0018000000000000002     -0.003                   9.870550618092339E-7     9.012683960037538E-7
0.0019                    -0.003                   8.687682384956081E-7     1.04568931780432E-6
0.002                     -0.003                   7.09566599043843E-7      1.1501386752122387E-6
0.0021000000000000003     -0.003                   5.974498469129444E-7     1.219924410289069E-6
0.0022                    -0.003                   5.472019910848824E-7     1.2364444772478929E-6
0.0023                    -0.003                   5.919135698422783E-7     1.2162571460843917E-6
0.0024000000000000002     -0.003                   7.186566417044049E-7     1.1189463951392355E-6
0.0025                    -0.003                   8.731613760212146E-7     9.984549761766813E-7
0.0026000000000000003     -0.003                   1.0083543340316482E-6    8.250245517670314E-7
0.0027                    -0.003                   1.1362029480156635E-6    6.398332419255354E-7
0.0028                    -0.003                   1.195626021904729E-6     4.79611258922469E-7
0.0029000000000000002     -0.003                   1.2067650207064795E-6    4.299536763471711E-7
0.003                     -0.003                   1.159389482139694E-6     5.210388445057938E-7
0.0031000000000000003     -0.003                   1.0450922052418014E-6    6.947444067368552E-7
0.0032                    -0.003                   8.870892947688141E-7     8.515308489003966E-7
0.0033                    -0.003                   7.119414761934969E-7     9.992392122934601E-7
0.0034000000000000002     -0.003                   5.125037964079663E-7     1.0771609284289927E-6
0.0035                    -0.003                   3.922454808305342E-7     1.1108552553568226E-6
0.0036000000000000003     -0.003                   3.742993392002118E-7     1.0815681495598129E-6
0.0037                    -0.003                   5.087639866566511E-7     9.958052404520554E-7
0.0038                    -0.003                   6.519465630770147E-7     8.758643827906645E-7
0.0039000000000000003     -0.003                   7.776483912833983E-7     7.433131227077786E-7
0.004                     -0.003                   8.490021041525425E-7     6.208920850951198E-7
0.0041                    -0.003                   8.558723593030494E-7     5.829470017672402E-7
0.004200000000000001      -0.003                   8.08458841986182E-7      5.990506690903524E-7
0.0043                    -0.003                   7.199120747773163E-7     7.020514667962419E-7
0.0044                    -0.003                   5.724596646753676E-7     7.796946134876976E-7
0.0045000000000000005     -0.003                   4.1644782254190705E-7    8.613483520144043E-7
0.0046                    -0.003                   2.3488508889195878E-7    8.80602390831434E-7
0.0047                    -0.003                   1.8698703023758044E-7    8.619683967988998E-7
0.0048000000000000004     -0.003                   2.803568151650634E-7     8.045980838792651E-7
0.0049                    -0.003                   4.205542086283611E-7     7.094411992543177E-7
0.005                     -0.003                   5.094568926999761E-7     6.172784989816799E-7
0.0051                    -0.003                   5.750009093163755E-7     5.379913510352283E-7
0.005200000000000001      -0.003                   5.925867804714972E-7     5.231041591696645E-7
0.0053                    -0.003                   5.460325318386018E-7     5.630221313199031E-7
0.0054                    -0.003                   4.699806535965158E-7     6.340049429391733E-7
0.0055000000000000005     -0.003                   3.3735445019084206E-7    7.017757526642872E-7
0.0056                    -0.003                   2.1938928381360847E-7    7.403883909433146E-7
0.0057                    -0.003                   1.3092460615644142E-7    7.562095606469666E-7
0.0058000000000000005     -0.003                   1.8304155062437754E-7    7.20939472886152E-7
0.0059                    -0.003                   2.8292663002024203E-7    6.71597091883235E-7
0.006                     -0.003                   3.8502455231656923E-7    5.920347294541666E-7
0.0061                    -0.003                   4.4656147123477846E-7    5.329241014796473E-7
0.006200000000000001      -0.003                   4.538792444354426E-7     4.93853347793832E-7
0.0063                    -0.003                   4.32482729025217E-7      5.000183927570295E-7
0.0064                    -0.003                   3.6312070121483105E-7    5.372105877736363E-7
0.006500000000000001      -0.003                   2.766014305564472E-7     5.785977756789641E-7
0.0066                    -0.003                   1.6687838122241738E-7    6.234218607810296E-7
0.0067                    -0.003                   6.192983250925504E-8     6.209784803678959E-7
0.0068000000000000005     -0.003                   1.2394019498894186E-7    6.227499122099322E-7
0.006900000000000001      -0.003                   2.2984649059694261E-7    5.718834728450427E-7
0.007                     -0.003                   3.100509780322188E-7     5.412588929095027E-7
0.0071                    -0.003                   3.5379524717607054E-7    4.852525090246828E-7
0.007200000000000001      -0.003                   3.8315994482344806E-7    4.6890063158995986E-7
