% Model:              Layer on halfspace, reflected field.mph
% Version:            COMSOL 5.6.0.341
% Date:               May 14 2023, 19:38
% Dimension:          2
% Nodes:              201
% Expressions:        2
% Description:        , 
% Length unit:        m
% X                       Y                        abs(u) (mm) @ freq=1E7   abs(v) (mm) @ freq=1E7
0                         -0.003                   1.0392095268479563E-9    1.292991069069326E-6
1.0E-4                    -0.003                   6.45452743766132E-8      1.2869555651037884E-6
2.0E-4                    -0.003                   1.4152468591889807E-7    1.2697278574013937E-6
3.0000000000000003E-4     -0.003                   2.3196522754900899E-7    1.2337078555800343E-6
4.0E-4                    -0.003                   3.3375769438161713E-7    1.1758565254389342E-6
5.0E-4                    -0.003                   4.402974412785845E-7     1.1026708294315355E-6
6.000000000000001E-4      -0.003                   5.580868468465477E-7     1.0105391928475486E-6
7.0E-4                    -0.003                   6.963317842112487E-7     9.083737301480413E-7
8.0E-4                    -0.003                   8.6401670313964E-7       7.95378484063284E-7
9.000000000000001E-4      -0.003                   1.0367319284216305E-6    6.745099248315077E-7
0.001                     -0.003                   1.1954143351558613E-6    5.684725682550315E-7
0.0011                    -0.003                   1.3494223368697668E-6    4.819528771549383E-7
0.0012000000000000001     -0.003                   1.4734010184598784E-6    4.0224682878482375E-7
0.0013000000000000002     -0.003                   1.5228017491158116E-6    3.476798203544727E-7
0.0014                    -0.003                   1.457742611304507E-6     3.624230867815533E-7
0.0015                    -0.003                   1.3022162626021529E-6    4.5780798596434393E-7
0.0016                    -0.003                   1.0248139540503687E-6    6.152085089872907E-7
0.0017000000000000001     -0.003                   6.787262850700645E-7     7.516438815841894E-7
0.0018000000000000002     -0.003                   4.16531122241851E-7      8.704754036641727E-7
0.0019                    -0.003                   6.273408154635473E-7     9.664256671961455E-7
0.002                     -0.003                   9.546187034916875E-7     1.0233041425460968E-6
0.0021000000000000003     -0.003                   1.175930440256695E-6     1.0851560640750328E-6
0.0022                    -0.003                   1.1790947984823275E-6    1.158671275789695E-6
0.0023                    -0.003                   9.179401065493878E-7     1.2373965697215517E-6
0.0024000000000000002     -0.003                   4.2800178051603737E-7    1.2286966790635939E-6
0.0025                    -0.003                   3.386801155140525E-7     1.125801053149877E-6
0.0026000000000000003     -0.003                   9.35920435795034E-7      8.706437578989628E-7
0.0027                    -0.003                   1.447174420494645E-6     5.250142582926472E-7
0.0028                    -0.003                   1.6569009003637202E-6    3.1272000035512683E-7
0.0029000000000000002     -0.003                   1.533348091180456E-6     5.536282691190645E-7
0.003                     -0.003                   1.1507068445523376E-6    8.140912855322644E-7
0.0031000000000000003     -0.003                   7.223150011315226E-7     9.167576253079914E-7
0.0032                    -0.003                   6.726435997253506E-7     8.145874280548887E-7
0.0033                    -0.003                   8.558270105288933E-7     6.655387034868418E-7
0.0034000000000000002     -0.003                   7.665201462604698E-7     6.976492877313608E-7
0.0035                    -0.003                   3.839474445613145E-7     9.672537508164813E-7
0.0036000000000000003     -0.003                   2.563399082166043E-7     1.225925511141328E-6
0.0037                    -0.003                   8.642726130092557E-7     1.3256162188714877E-6
0.0038                    -0.003                   1.201514792195996E-6     1.238566229114856E-6
0.0039000000000000003     -0.003                   1.1242000960171174E-6    9.889602520284144E-7
0.004                     -0.003                   6.272145844317576E-7     6.218583614302615E-7
0.0041                    -0.003                   1.8788684083462867E-7    3.198265269223747E-7
0.004200000000000001      -0.003                   9.491500244268066E-7     4.152268767613611E-7
0.0043                    -0.003                   1.4520717500867998E-6    7.494695541238826E-7
0.0044                    -0.003                   1.5104664345950523E-6    9.762913084439203E-7
0.0045000000000000005     -0.003                   1.1603987397563298E-6    1.1068637779635467E-6
0.0046                    -0.003                   6.048001500059124E-7     1.0765126661550756E-6
0.0047                    -0.003                   4.789799443251088E-7     9.290356422860068E-7
0.0048000000000000004     -0.003                   7.247847086010021E-7     6.933815266293096E-7
0.0049                    -0.003                   7.041128279655603E-7     4.288947358875928E-7
0.005                     -0.003                   3.745491159146904E-7     4.2421011102106506E-7
0.0051                    -0.003                   3.0100854688648725E-7    6.502641293543952E-7
0.005200000000000001      -0.003                   6.593010722618349E-7     8.116882684704036E-7
0.0053                    -0.003                   7.861525098098246E-7     7.810734622789005E-7
0.0054                    -0.003                   6.23722425595738E-7      6.4859244334235E-7
0.0055000000000000005     -0.003                   2.468014953743799E-7     6.863603667725142E-7
0.0056                    -0.003                   2.3290300674530956E-7    8.70665816383559E-7
0.0057                    -0.003                   4.860253413454974E-7     9.269503062289233E-7
0.0058000000000000005     -0.003                   5.370054883723029E-7     6.73905802916483E-7
0.0059                    -0.003                   3.851342122037359E-7     1.805717974270851E-7
0.006                     -0.003                   1.764495272937011E-7     3.944403819102005E-7
0.0061                    -0.003                   2.989198407329046E-7     8.317935208161798E-7
0.006200000000000001      -0.003                   5.491899972588654E-7     9.343522382902867E-7
0.0063                    -0.003                   7.74197359626692E-7      7.470893447601821E-7
0.0064                    -0.003                   8.969011343862235E-7     5.265533536481943E-7
0.006500000000000001      -0.003                   9.023488243891821E-7     6.638923059884024E-7
0.0066                    -0.003                   8.4901044812E-7          8.497766542688594E-7
0.0067                    -0.003                   8.411377650688813E-7     7.689822753022586E-7
0.0068000000000000005     -0.003                   9.129799673879527E-7     5.411652707528481E-7
0.006900000000000001      -0.003                   9.68930219059691E-7      4.7029069617732163E-7
0.007                     -0.003                   9.088344171820991E-7     6.85569874256197E-7
0.0071                    -0.003                   8.087226464285824E-7     7.281152866599811E-7
0.007200000000000001      -0.003                   7.645406716772351E-7     5.441602814309504E-7
0.0073                    -0.003                   7.224443628005246E-7     2.2081003152554708E-7
0.0074                    -0.003                   6.568465809372183E-7     3.4326860024325953E-7
0.007500000000000001      -0.003                   5.356198358380215E-7     6.892861840703559E-7
0.0076                    -0.003                   4.617348867688715E-7     9.168813282130793E-7
0.0077                    -0.003                   4.2851188008901883E-7    9.345473334478852E-7
0.0078000000000000005     -0.003                   4.1316857613908986E-7    7.393422108731011E-7
0.0079                    -0.003                   4.803607414556534E-7     5.015967533559177E-7
0.008                     -0.003                   5.849782724179108E-7     6.036280917146549E-7
0.0081                    -0.003                   5.919331315822334E-7     9.3286582443905E-7
0.0082                    -0.003                   4.975956660327839E-7     1.0805997905416013E-6
0.0083                    -0.003                   4.3619484088420496E-7    9.780113597666072E-7
0.008400000000000001      -0.003                   5.232507169547126E-7     6.819681205461233E-7
0.0085                    -0.003                   6.139453177106973E-7     3.757807064657315E-7
0.0086                    -0.003                   5.966097465686642E-7     2.988882835082008E-7
0.008700000000000001      -0.003                   4.3499670580817825E-7    2.5766992001954563E-7
0.0088                    -0.003                   1.9138274415721232E-7    1.244906650460877E-7
0.0089                    -0.003                   3.235575380421698E-7     9.793781960075857E-8
0.009000000000000001      -0.003                   6.263100633157848E-7     2.513372210274239E-7
0.0091                    -0.003                   8.466889082560325E-7     3.0637445129597725E-7
0.0092                    -0.003                   8.918907345314192E-7     3.2768391261384105E-7
0.009300000000000001      -0.003                   7.305762914985805E-7     3.537788996249569E-7
0.0094                    -0.003                   4.5624472446951174E-7    4.2490283652038064E-7
0.0095                    -0.003                   1.365252472563291E-7     5.041283210987028E-7
0.009600000000000001      -0.003                   1.2678666195400627E-7    6.90572675217235E-7
0.0097                    -0.003                   2.333336984329253E-7     8.152351283790025E-7
0.0098                    -0.003                   2.484098167279259E-7     8.458574256811307E-7
0.0099                    -0.003                   2.199490679298806E-7     7.133685829966892E-7
0.01                      -0.003                   1.576619629618202E-7     6.417397910586297E-7
0.010100000000000001      -0.003                   1.1800087199107792E-7    7.62171053393409E-7
0.0102                    -0.003                   1.9536690203210312E-7    8.65558118089366E-7
0.0103                    -0.003                   2.718154523108927E-7     7.893202211396182E-7
0.010400000000000001      -0.003                   2.3469225728776772E-7    4.6809952105159566E-7
0.0105                    -0.003                   5.7187673949848805E-8    1.7196285571324107E-7
0.0106                    -0.003                   2.332107490432195E-7     4.3542285350377617E-7
0.010700000000000001      -0.003                   4.3471662243844595E-7    6.919179611409915E-7
0.0108                    -0.003                   5.149086045345522E-7     7.195465818095739E-7
0.0109                    -0.003                   3.9839402585950185E-7    5.852801478821063E-7
0.011000000000000001      -0.003                   1.991680488809584E-7     4.213685431366817E-7
0.0111                    -0.003                   2.9817193495419855E-7    3.3291484434742505E-7
0.0112                    -0.003                   4.842456704491719E-7     3.328477517104667E-7
0.011300000000000001      -0.003                   5.579445848985856E-7     3.3423659586499983E-7
0.0114                    -0.003                   4.699591045725952E-7     2.91715410424831E-7
0.0115                    -0.003                   3.4824222057220274E-7    2.7074622934147174E-7
0.011600000000000001      -0.003                   2.1770789540324435E-7    1.6771073855511007E-7
0.0117                    -0.003                   1.323488202743774E-7     8.117946644860556E-8
0.0118                    -0.003                   5.6561387231191985E-8    3.386567229043214E-7
0.0119                    -0.003                   9.584677620761994E-8     6.200976603826053E-7
0.012                     -0.003                   1.4894648398944848E-7    7.739136921413041E-7
0.012100000000000001      -0.003                   1.7856399666698008E-7    7.790592195809805E-7
0.0122                    -0.003                   2.1454432161007965E-7    7.062196341961276E-7
0.0123                    -0.003                   2.851856499035526E-7     6.574708367928012E-7
0.012400000000000001      -0.003                   3.771084829951158E-7     6.915621704472789E-7
0.0125                    -0.003                   4.173804520684493E-7     6.865353741565835E-7
0.0126                    -0.003                   4.224035240098114E-7     6.40406128859046E-7
0.012700000000000001      -0.003                   4.0188657006472465E-7    6.116340421583985E-7
0.0128                    -0.003                   3.509635124825996E-7     6.47115707610534E-7
0.0129                    -0.003                   3.470405337324052E-7     6.597401177433601E-7
0.013000000000000001      -0.003                   4.5817469212749165E-7    5.389543017865056E-7
0.0131                    -0.003                   6.254785457512584E-7     3.112746227922031E-7
0.0132                    -0.003                   7.915832579821766E-7     1.027664218350572E-7
0.013300000000000001      -0.003                   8.991012281172106E-7     4.197116310097194E-7
0.0134                    -0.003                   8.6524120262852E-7       7.107581556854288E-7
0.0135                    -0.003                   6.874379649051458E-7     8.880826181901594E-7
0.013600000000000001      -0.003                   4.3387748051038815E-7    8.832844058081627E-7
0.0137                    -0.003                   2.3066758996358122E-7    7.636212857686764E-7
0.013800000000000002      -0.003                   2.8238963605143574E-7    5.480067139158159E-7
